model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,input_scale,weight_scale
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.7927399702978,302.4626334519573,0.027704695239663124,0.39223742485046387,0.001,3,32,2,1,cuda,100,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0093773531626,302.4626334519573,0.029973996803164482,0.41467809677124023,0.001,3,32,2,1,cuda,100,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.2334821055053,302.4626334519573,0.026850372552871704,0.3826611042022705,0.001,3,32,2,1,cuda,100,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.7848281145416,302.4626334519573,0.026858951896429062,0.39099955558776855,0.001,3,32,2,1,cuda,100,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6914977618808,302.4626334519573,0.02726256288588047,0.3817484378814697,0.001,3,32,2,1,cuda,100,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1532.8587226510208,302.4626334519573,0.025335662066936493,1.8989644050598145,0.001,3,32,2,1,cuda,500,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1809.0280510061077,302.4626334519573,0.027827730402350426,1.8977329730987549,0.001,3,32,2,1,cuda,500,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1453.181000041834,302.4626334519573,0.02474346198141575,1.8973791599273682,0.001,3,32,2,1,cuda,500,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1335.2374497991968,302.4626334519573,0.0243715588003397,1.8987724781036377,0.001,3,32,2,1,cuda,500,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1320.3484680911145,302.4626334519573,0.025200415402650833,1.8985037803649902,0.001,3,32,2,1,cuda,500,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1477.7677872950135,302.4626334519573,0.02466496080160141,3.7973878383636475,0.001,3,32,2,1,cuda,1000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1751.5477875041834,302.4626334519573,0.027043325826525688,3.7952218055725098,0.001,3,32,2,1,cuda,1000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1403.9140546561246,302.4626334519573,0.02413557469844818,3.7935307025909424,0.001,3,32,2,1,cuda,1000,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1292.885679436496,302.4626334519573,0.02392212674021721,3.796065092086792,0.001,3,32,2,1,cuda,1000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1264.7681324255354,302.4626334519573,0.024503502994775772,3.7948412895202637,0.001,3,32,2,1,cuda,1000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1444.0494177229752,302.4626334519573,0.024246055632829666,7.601684808731079,0.001,3,32,2,1,cuda,2000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1695.7341043862953,302.4626334519573,0.026423374190926552,7.588006258010864,0.001,3,32,2,1,cuda,2000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1384.3757621632362,302.4626334519573,0.023893557488918304,7.58846378326416,0.001,3,32,2,1,cuda,2000,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1272.9909350945447,302.4626334519573,0.0237159114331007,7.58912205696106,0.001,3,32,2,1,cuda,2000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1242.0410548443774,302.4626334519573,0.024120822548866272,7.588704824447632,0.001,3,32,2,1,cuda,2000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1604.2877068168507,206.0134661998384,0.026789966970682144,0.5298459529876709,0.001,3,32,3,1,cuda,100,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1898.5911889746485,206.0134661998384,0.0401635468006134,0.5295975208282471,0.001,3,32,3,1,cuda,100,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1526.8734573711513,206.0134661998384,0.03782293200492859,0.5302879810333252,0.001,3,32,3,1,cuda,100,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1418.6575207078313,206.0134661998384,0.025856181979179382,0.5300877094268799,0.001,3,32,3,1,cuda,100,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1385.0778151669176,206.0134661998384,0.02786617912352085,0.5293984413146973,0.001,3,32,3,1,cuda,100,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1393.9391681308568,206.0134661998384,0.023445134982466698,2.6413416862487793,0.001,3,32,3,1,cuda,500,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1636.1749171163822,206.0134661998384,0.025530880317091942,2.665855884552002,0.001,3,32,3,1,cuda,500,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1341.9625598749162,206.0134661998384,0.023293284699320793,2.639599084854126,0.001,3,32,3,1,cuda,500,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1202.6129374267905,206.0134661998384,0.022641776129603386,2.640373468399048,0.001,3,32,3,1,cuda,500,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1171.3554099209337,206.0134661998384,0.02314694970846176,2.6402032375335693,0.001,3,32,3,1,cuda,500,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1307.509700259371,206.0134661998384,0.022356290370225906,5.280311822891235,0.001,3,32,3,1,cuda,1000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1554.6664914867804,206.0134661998384,0.02436758391559124,5.278540372848511,0.001,3,32,3,1,cuda,1000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1284.161748556727,206.0134661998384,0.02269607037305832,5.276690483093262,0.001,3,32,3,1,cuda,1000,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1156.3721670536313,206.0134661998384,0.021955547854304314,5.277764558792114,0.001,3,32,3,1,cuda,1000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1137.7614690532964,206.0134661998384,0.02255985140800476,5.277566909790039,0.001,3,32,3,1,cuda,1000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1282.1798482994477,206.0134661998384,0.021884705871343613,10.557174921035767,0.001,3,32,3,1,cuda,2000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1508.1206244247824,206.0134661998384,0.0236893929541111,10.552407503128052,0.001,3,32,3,1,cuda,2000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1212.1414316118642,206.0134661998384,0.021532589569687843,10.552496671676636,0.001,3,32,3,1,cuda,2000,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1127.8049215089525,206.0134661998384,0.021434757858514786,10.556188821792603,0.001,3,32,3,1,cuda,2000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1089.2683716637382,206.0134661998384,0.02171577885746956,10.552637338638306,0.001,3,32,3,1,cuda,2000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1569.1497631149598,156.20338983050848,0.02601802721619606,0.6803219318389893,0.001,3,32,4,1,cuda,100,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1802.058631662065,156.20338983050848,0.027868272736668587,0.67661452293396,0.001,3,32,4,1,cuda,100,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1494.875732095047,156.20338983050848,0.02562830038368702,0.676788330078125,0.001,3,32,4,1,cuda,100,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1399.327921059237,156.20338983050848,0.030215086415410042,0.6763296127319336,0.001,3,32,4,1,cuda,100,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1370.3447252551873,156.20338983050848,0.02901913784444332,0.6765215396881104,0.001,3,32,4,1,cuda,100,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1242.2609801183903,156.20338983050848,0.02142801135778427,3.3735592365264893,0.001,3,32,4,1,cuda,500,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1484.3025199757362,156.20338983050848,0.023395946249365807,3.3737399578094482,0.001,3,32,4,1,cuda,500,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1212.368132686998,156.20338983050848,0.02150547131896019,3.3723273277282715,0.001,3,32,4,1,cuda,500,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1111.5825881651606,156.20338983050848,0.02122337743639946,3.373188018798828,0.001,3,32,4,1,cuda,500,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1046.3864481362953,156.20338983050848,0.021157950162887573,3.372964382171631,0.001,3,32,4,1,cuda,500,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1184.6557492992804,156.20338983050848,0.020351948216557503,6.744457483291626,0.001,3,32,4,1,cuda,1000,256.0,1.0
