model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1568.3301526418172,628.5357436318817,0.02545820362865925,0.2112884521484375,0.001,3,32,2,1,cuda,100,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1879.9746917356927,628.5357436318817,0.028124364092946053,0.20525097846984863,0.001,3,32,2,1,cuda,100,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1492.6657724648594,628.5357436318817,0.02508823201060295,0.2244398593902588,0.001,3,32,2,1,cuda,100,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1353.8702296163822,628.5357436318817,0.024288682267069817,0.19757413864135742,0.001,3,32,2,1,cuda,100,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1285.8588403091533,628.5357436318817,0.024111587554216385,0.2114546298980713,0.001,3,32,2,1,cuda,100,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1622.0220216804719,628.5357436318817,0.02684415504336357,0.22710633277893066,0.001,3,32,2,1,cuda,100,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2085.3945743913155,628.5357436318817,0.05734218284487724,0.21696734428405762,0.001,3,32,2,1,cuda,100,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1520.6726306266733,628.5357436318817,0.026431746780872345,0.20742321014404297,0.001,3,32,2,1,cuda,100,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1430.7235007739291,628.5357436318817,0.02613045647740364,0.20783257484436035,0.001,3,32,2,1,cuda,100,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,628.5357436318817,0.0268196240067482,0.21056556701660156,0.001,3,32,2,1,cuda,100,False
