model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,fourier_features,scale
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,241.37835279267907,0.02778657153248787,0.23873519897460938,0.001,3,32,2,1,cuda,100,32,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1906.9201232011378,241.37835279267907,0.030443618074059486,0.22087788581848145,0.001,3,32,2,1,cuda,100,32,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1527.4151292670683,241.37835279267907,0.026376988738775253,0.23522353172302246,0.001,3,32,2,1,cuda,100,32,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,241.37835279267907,0.026667118072509766,0.24619245529174805,0.001,3,32,2,1,cuda,100,32,10
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,241.37835279267907,0.02703845128417015,0.21700644493103027,0.001,3,32,2,1,cuda,100,32,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,241.37835279267907,0.027873270213603973,0.24056053161621094,0.001,3,32,2,1,cuda,100,32,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,241.37835279267907,0.030301151797175407,0.2012622356414795,0.001,3,32,2,1,cuda,100,32,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,241.37835279267907,0.027364661917090416,0.22336292266845703,0.001,3,32,2,1,cuda,100,32,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1432.0119488370146,241.37835279267907,0.027759429067373276,0.22571825981140137,0.001,3,32,2,1,cuda,100,32,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,241.37835279267907,0.02761862799525261,0.20978641510009766,0.001,3,32,2,1,cuda,100,32,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,146.62219666474985,0.02749343402683735,0.2722628116607666,0.001,3,32,2,1,cuda,100,64,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1908.2977561286814,146.62219666474985,0.030392760410904884,0.25485920906066895,0.001,3,32,2,1,cuda,100,64,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.359874393407,146.62219666474985,0.025974348187446594,0.2520606517791748,0.001,3,32,2,1,cuda,100,64,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.8857317289994,146.62219666474985,0.02647843398153782,0.25814008712768555,0.001,3,32,2,1,cuda,100,64,10
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.652607827142,146.62219666474985,0.026734651997685432,0.25502753257751465,0.001,3,32,2,1,cuda,100,64,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,146.62219666474985,0.027573376893997192,0.28531813621520996,0.001,3,32,2,1,cuda,100,64,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1911.5231825740461,146.62219666474985,0.0313774049282074,0.24994158744812012,0.001,3,32,2,1,cuda,100,64,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,146.62219666474985,0.02727263979613781,0.25029873847961426,0.001,3,32,2,1,cuda,100,64,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.9652633973394,146.62219666474985,0.027162112295627594,0.2930138111114502,0.001,3,32,2,1,cuda,100,64,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,146.62219666474985,0.02752087265253067,0.2500298023223877,0.001,3,32,2,1,cuda,100,64,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1513.788529116466,241.37835279267907,0.025364069268107414,0.9708337783813477,0.001,3,32,2,1,cuda,500,32,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1894.7684435659303,241.37835279267907,0.028828172013163567,0.9716618061065674,0.001,3,32,2,1,cuda,500,32,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1514.5175702811246,241.37835279267907,0.02560342475771904,0.9728944301605225,0.001,3,32,2,1,cuda,500,32,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1324.380288079401,241.37835279267907,0.024295056238770485,0.9704046249389648,0.001,3,32,2,1,cuda,500,32,10
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1231.824174301372,241.37835279267907,0.023758085444569588,1.018618106842041,0.001,3,32,2,1,cuda,500,32,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,241.37835279267907,0.027574341744184494,1.0189857482910156,0.001,3,32,2,1,cuda,500,32,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1906.9722392172857,241.37835279267907,0.029675500467419624,0.997788667678833,0.001,3,32,2,1,cuda,500,32,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,241.37835279267907,0.026886364445090294,1.0251727104187012,0.001,3,32,2,1,cuda,500,32,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1425.4748812960174,241.37835279267907,0.025888493284583092,1.01560378074646,0.001,3,32,2,1,cuda,500,32,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.5381944444443,241.37835279267907,0.02722523920238018,1.01373291015625,0.001,3,32,2,1,cuda,500,32,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1438.6973767465697,146.62219666474985,0.023800738155841827,1.2391130924224854,0.001,3,32,2,1,cuda,500,64,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1370.6410041206493,146.62219666474985,0.02215798757970333,1.2641973495483398,0.001,3,32,2,1,cuda,500,64,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1193.8302363098226,146.62219666474985,0.02141636237502098,1.5915172100067139,0.001,3,32,2,1,cuda,500,64,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1148.6594006233267,146.62219666474985,0.021614089608192444,1.242988109588623,0.001,3,32,2,1,cuda,500,64,10
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1072.4946674719713,146.62219666474985,0.02107216604053974,1.288142442703247,0.001,3,32,2,1,cuda,500,64,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1578.9239510123828,146.62219666474985,0.0261295884847641,1.2394342422485352,0.001,3,32,2,1,cuda,500,64,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1865.407201723561,146.62219666474985,0.028269153088331223,1.2401032447814941,0.001,3,32,2,1,cuda,500,64,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1325.2292516419845,146.62219666474985,0.023281000554561615,1.2403545379638672,0.001,3,32,2,1,cuda,500,64,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1427.5405371485945,146.62219666474985,0.02578125335276127,1.295881986618042,0.001,3,32,2,1,cuda,500,64,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1371.3325031898428,146.62219666474985,0.026189377531409264,1.238107681274414,0.001,3,32,2,1,cuda,500,64,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1554.9622291248327,241.37835279267907,0.025547826662659645,1.935476303100586,0.001,3,32,2,1,cuda,1000,32,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1809.7538461136212,241.37835279267907,0.027742918580770493,1.9496920108795166,0.001,3,32,2,1,cuda,1000,32,10
