model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,input_scale,weight_scale,alpha,beta
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,555.7198546791332,14.228306765127137,0.008215086534619331,39.0858199596405,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,570.0141228978414,14.228306765127137,0.008548915386199951,39.08822059631348,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,548.755780936245,14.228306765127137,0.00851462036371231,39.08537721633911,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,471.2029772736781,14.228306765127137,0.008005758747458458,39.08923864364624,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,460.32525675619144,14.228306765127137,0.008043685927987099,39.08800506591797,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,986.7209319047022,14.228306765127137,0.014955803751945496,39.085944175720215,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1120.6030554509705,14.228306765127137,0.015907831490039825,39.08897280693054,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,896.0282274933065,14.228306765127137,0.014353993348777294,39.086305141448975,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,777.752194977828,14.228306765127137,0.013577462173998356,39.08818554878235,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,700.9857947414658,14.228306765127137,0.013175277039408684,39.08885455131531,0.001,3,128,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,300.3135157818775,14.228306765127137,0.0053892675787210464,39.08899807929993,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,350.7874205153949,14.228306765127137,0.005813657771795988,39.087697982788086,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,280.87450975778114,14.228306765127137,0.005266285501420498,39.0856990814209,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,254.0278339922189,14.228306765127137,0.005226416047662497,39.088677167892456,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,258.74825212307564,14.228306765127137,0.005356721114367247,39.09050250053406,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,554.3838583500669,14.228306765127137,0.007908832281827927,39.08649706840515,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,629.4492605840027,14.228306765127137,0.00887476559728384,39.089444160461426,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,504.1652207789491,14.228306765127137,0.00774193461984396,39.087398290634155,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,469.4816845507028,14.228306765127137,0.00776934577152133,39.089064598083496,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,470.97521073878846,14.228306765127137,0.007854966446757317,39.089768409729004,0.001,3,128,3,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,486.76007153614455,14.228306765127137,0.007278394885361195,78.1731743812561,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,605.0561660705321,14.228306765127137,0.008852466009557247,78.17336964607239,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,507.5617639830154,14.228306765127137,0.007862699218094349,78.1637966632843,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,406.42162399598396,14.228306765127137,0.0070015424862504005,78.17118287086487,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,465.53623478288154,14.228306765127137,0.008137144148349762,78.17280125617981,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,927.2110355484438,14.228306765127137,0.013978200033307076,78.17027378082275,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1188.3913414072958,14.228306765127137,0.01673971302807331,78.17106485366821,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,897.2300242637216,14.228306765127137,0.014438170939683914,78.1690354347229,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,830.0936767904954,14.228306765127137,0.01441835705190897,78.17137813568115,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,731.2930236571285,14.228306765127137,0.013748028315603733,78.17478537559509,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,256.37628508826975,14.228306765127137,0.004801094997674227,78.17118215560913,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.09172105087015,14.228306765127137,0.005466069094836712,78.1766607761383,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,253.2730139307229,14.228306765127137,0.00490942457690835,78.18168687820435,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,231.06673961470884,14.228306765127137,0.00488057266920805,78.18604755401611,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,258.2882035956325,14.228306765127137,0.004958620760589838,78.23655939102173,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
