model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,88.5230876056012,0.028616541996598244,0.7030601501464844,0.001,3,64,3,1,cuda,100,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,88.5230876056012,0.030141592025756836,0.686586856842041,0.001,3,64,3,1,cuda,100,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.02702578715980053,0.6837108135223389,0.001,3,64,3,1,cuda,100,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.02722804807126522,0.6845273971557617,0.001,3,64,3,1,cuda,100,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.027895871549844742,0.6832332611083984,0.001,3,64,3,1,cuda,100,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,88.5230876056012,0.02900739759206772,0.6864955425262451,0.001,3,64,3,1,cuda,100,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,88.5230876056012,0.03018762357532978,0.6864404678344727,0.001,3,64,3,1,cuda,100,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.029283450916409492,0.6871159076690674,0.001,3,64,3,1,cuda,100,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.02954692393541336,0.6866447925567627,0.001,3,64,3,1,cuda,100,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.027734069153666496,0.686286449432373,0.001,3,64,3,1,cuda,100,False
