model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,345.5027545076138,22.721758502896183,0.006010554730892181,20.776399612426758,0.001,3,128,3,1,cuda,2000,True,80,15
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,406.76976264432733,22.721758502896183,0.006821567192673683,20.26258659362793,0.001,3,128,3,1,cuda,2000,True,80,15
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,347.97505516859104,22.721758502896183,0.0062509560957551,20.260374546051025,0.001,3,128,3,1,cuda,2000,True,80,15
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,299.1867679049532,22.721758502896183,0.006080238148570061,20.265169858932495,0.001,3,128,3,1,cuda,2000,True,80,15
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,301.4614826493474,22.721758502896183,0.00619006110355258,20.29155659675598,0.001,3,128,3,1,cuda,2000,True,80,15
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,238.63433813378515,22.721758502896183,0.003971348982304335,20.265151023864746,0.001,3,128,3,1,cuda,2000,True,80,30
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,281.4813420348059,22.721758502896183,0.004831195343285799,20.257863521575928,0.001,3,128,3,1,cuda,2000,True,80,30
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,328.28499937248995,22.721758502896183,0.006123985163867474,20.266002893447876,0.001,3,128,3,1,cuda,2000,True,80,30
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,231.08276073042168,22.721758502896183,0.003909055143594742,20.262664794921875,0.001,3,128,3,1,cuda,2000,True,80,30
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,245.49001343917337,22.721758502896183,0.004277678672224283,20.260279893875122,0.001,3,128,3,1,cuda,2000,True,80,30
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.6871875522925,22.721758502896183,0.006613321602344513,20.33387565612793,0.001,3,128,3,1,cuda,2000,True,80,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,468.0991923422858,22.721758502896183,0.007287617307156324,20.312169313430786,0.001,3,128,3,1,cuda,2000,True,80,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,296.94287697665663,22.721758502896183,0.005496419500559568,20.26454496383667,0.001,3,128,3,1,cuda,2000,True,80,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,220.96650534429384,22.721758502896183,0.0036249568220227957,20.28044867515564,0.001,3,128,3,1,cuda,2000,True,80,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,320.9315033571787,22.721758502896183,0.006437267176806927,20.262576818466187,0.001,3,128,3,1,cuda,2000,True,80,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,347.85659957538485,22.721758502896183,0.006258821580559015,20.259034872055054,0.001,3,128,3,1,cuda,2000,True,100,15
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,398.20165035140565,22.721758502896183,0.007051227614283562,20.295799732208252,0.001,3,128,3,1,cuda,2000,True,100,15
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,352.29952100066936,22.721758502896183,0.0063792685978114605,20.263594150543213,0.001,3,128,3,1,cuda,2000,True,100,15
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,318.4815106781292,22.721758502896183,0.006428558845072985,20.28693962097168,0.001,3,128,3,1,cuda,2000,True,100,15
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,301.88238239415995,22.721758502896183,0.006353443488478661,20.257630348205566,0.001,3,128,3,1,cuda,2000,True,100,15
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,251.52212757279116,22.721758502896183,0.0035737412981688976,20.30940890312195,0.001,3,128,3,1,cuda,2000,True,100,30
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,345.24163450677713,22.721758502896183,0.004252326674759388,20.2516770362854,0.001,3,128,3,1,cuda,2000,True,100,30
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,236.57623331869144,22.721758502896183,0.003617200767621398,20.267783641815186,0.001,3,128,3,1,cuda,2000,True,100,30
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,225.7554985567269,22.721758502896183,0.0037712864577770233,20.260875701904297,0.001,3,128,3,1,cuda,2000,True,100,30
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,241.55696614583334,22.721758502896183,0.0042122541926801205,20.263097524642944,0.001,3,128,3,1,cuda,2000,True,100,30
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,251.7317002384538,22.721758502896183,0.0033303997479379177,20.266303539276123,0.001,3,128,3,1,cuda,2000,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,296.88770054175035,22.721758502896183,0.004281545523554087,20.25241231918335,0.001,3,128,3,1,cuda,2000,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,220.0924453020415,22.721758502896183,0.0038782928604632616,20.26962423324585,0.001,3,128,3,1,cuda,2000,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,204.91233031082663,22.721758502896183,0.003560073208063841,20.334579706192017,0.001,3,128,3,1,cuda,2000,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,210.74181099397592,22.721758502896183,0.003778594546020031,20.260151147842407,0.001,3,128,3,1,cuda,2000,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,353.35368819026104,22.721758502896183,0.006227059289813042,20.260038375854492,0.001,3,128,3,1,cuda,2000,True,120,15
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,417.2834201388889,22.721758502896183,0.0071380543522536755,20.298750400543213,0.001,3,128,3,1,cuda,2000,True,120,15
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,351.07019614918005,22.721758502896183,0.006443591322749853,20.264464378356934,0.001,3,128,3,1,cuda,2000,True,120,15
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.69071206701807,22.721758502896183,0.006421377416700125,20.271740674972534,0.001,3,128,3,1,cuda,2000,True,120,15
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,313.7180375146419,22.721758502896183,0.006632664240896702,20.265535354614258,0.001,3,128,3,1,cuda,2000,True,120,15
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,247.6445639328146,22.721758502896183,0.003534097457304597,20.26288914680481,0.001,3,128,3,1,cuda,2000,True,120,30
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,304.9534753597724,22.721758502896183,0.004831531550735235,20.258069038391113,0.001,3,128,3,1,cuda,2000,True,120,30
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,243.62138528070616,22.721758502896183,0.0043669878505170345,20.272268772125244,0.001,3,128,3,1,cuda,2000,True,120,30
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,254.5857061056727,22.721758502896183,0.0034278573002666235,20.260088682174683,0.001,3,128,3,1,cuda,2000,True,120,30
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,274.13524017946787,22.721758502896183,0.003556285984814167,20.276612281799316,0.001,3,128,3,1,cuda,2000,True,120,30
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,402.65449427920015,22.721758502896183,0.00695795938372612,20.255677700042725,0.001,3,128,3,1,cuda,2000,True,120,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,285.3263496695114,22.721758502896183,0.0038543930277228355,20.259411811828613,0.001,3,128,3,1,cuda,2000,True,120,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,273.24994901480926,22.721758502896183,0.004253673367202282,20.292069673538208,0.001,3,128,3,1,cuda,2000,True,120,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,206.04602132488287,22.721758502896183,0.0034740895498543978,20.322771549224854,0.001,3,128,3,1,cuda,2000,True,120,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,353.90073314089693,22.721758502896183,0.00736418878659606,20.271775245666504,0.001,3,128,3,1,cuda,2000,True,120,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,264.4931052334337,22.721758502896183,0.005162770859897137,20.332569360733032,0.001,3,128,3,1,cuda,2000,True,150,15
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,450.3206628597724,22.721758502896183,0.007508976384997368,20.25627613067627,0.001,3,128,3,1,cuda,2000,True,150,15
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,361.83910511839025,22.721758502896183,0.00680206622928381,20.273921728134155,0.001,3,128,3,1,cuda,2000,True,150,15
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,272.51978879057896,22.721758502896183,0.005983509588986635,20.277119398117065,0.001,3,128,3,1,cuda,2000,True,150,15
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,325.7317446870817,22.721758502896183,0.00696776295080781,20.268656730651855,0.001,3,128,3,1,cuda,2000,True,150,15
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,290.2295157191265,22.721758502896183,0.0033239792101085186,20.296427965164185,0.001,3,128,3,1,cuda,2000,True,150,30
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,411.4686937855589,22.721758502896183,0.0045533073134720325,20.269607305526733,0.001,3,128,3,1,cuda,2000,True,150,30
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,233.56332099230255,22.721758502896183,0.003726910799741745,20.27798104286194,0.001,3,128,3,1,cuda,2000,True,150,30
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,269.27617762717534,22.721758502896183,0.0035574082285165787,20.266135215759277,0.001,3,128,3,1,cuda,2000,True,150,30
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,233.69616748242973,22.721758502896183,0.00408766558393836,20.264092683792114,0.001,3,128,3,1,cuda,2000,True,150,30
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,466.6186739144076,22.721758502896183,0.0077444761991500854,20.260632038116455,0.001,3,128,3,1,cuda,2000,True,150,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,433.05034330028445,22.721758502896183,0.005081602372229099,20.259440183639526,0.001,3,128,3,1,cuda,2000,True,150,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,205.5085328292336,22.721758502896183,0.0031261201947927475,20.324188947677612,0.001,3,128,3,1,cuda,2000,True,150,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,346.0244807354418,22.721758502896183,0.007035778369754553,20.275914192199707,0.001,3,128,3,1,cuda,2000,True,150,45
