model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,243.3779126924364,22.721758502896183,0.0037202450912445784,10.104217767715454,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,511.57695756986277,22.721758502896183,0.008009026758372784,10.103691339492798,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,437.81508063504015,22.721758502896183,0.007386138662695885,10.104949474334717,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,312.23774917377847,22.721758502896183,0.00611166562885046,10.10593867301941,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,259.0591114457831,22.721758502896183,0.004867988172918558,10.109877586364746,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,516.6566853350904,22.721758502896183,0.008531360886991024,10.106637954711914,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,331.2371870293675,22.721758502896183,0.004028032533824444,10.106252670288086,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,490.6264576535308,22.721758502896183,0.008469237014651299,10.1062593460083,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,451.1182608036312,22.721758502896183,0.006710795685648918,10.106675624847412,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,400.82105113160975,22.721758502896183,0.005608490202575922,10.105809926986694,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,304.69724470799866,22.721758502896183,0.004901465494185686,10.105672836303711,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,507.16825897339356,22.721758502896183,0.006790971849113703,10.105226039886475,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,311.78241743013723,22.721758502896183,0.0068200924433767796,10.121630907058716,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,468.4883688399431,22.721758502896183,0.007285451050847769,10.104999303817749,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,242.6463967850569,22.721758502896183,0.0036724796518683434,10.105614423751831,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,364.4755846301874,22.721758502896183,0.006063032429665327,10.10460352897644,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,470.7989575489458,22.721758502896183,0.007824051193892956,10.104338884353638,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,424.0939264871988,22.721758502896183,0.00739655876532197,10.105048418045044,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,255.55250690261045,22.721758502896183,0.004923968110233545,10.108665227890015,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,349.31839075050203,22.721758502896183,0.00642824824899435,10.104223728179932,0.001,3,128,3,1,cuda,1000,True,100,45
