lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,sample_fraction,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,1000,True,45,100,0.1,58.58637681831885,22.721758502896183,0.009555942378938146,1.8805838584899903,33.96300249345385,SIREN
0.001,128,3,1000,True,45,100,0.2,49.579534900059805,22.721758502896183,0.008572227880358656,3.0028302907943725,34.535310099157,SIREN
0.001,128,3,1000,True,45,100,0.3,44.466392269600405,22.721758502896183,0.008094714791513925,4.004422199726105,34.831600232043705,SIREN
0.001,128,3,1000,True,45,100,0.4,41.931085634203754,22.721758502896183,0.00776813707780088,5.0137003540992735,35.02770926071093,SIREN
0.001,128,3,1000,True,45,100,0.5,43.744903026406284,22.721758502896183,0.007691794401034654,5.939859473705292,35.08983399395508,SIREN
0.001,128,3,1000,True,45,100,0.6,39.954334071863684,22.721758502896183,0.007555726333521255,6.910283041000366,35.18148200944313,SIREN
0.001,128,3,1000,True,45,100,0.7,43.55805949067184,22.721758502896183,0.007440734026022194,7.798369896411896,35.25800164182578,SIREN
0.001,128,3,1000,True,45,100,0.8,37.04213324703953,22.721758502896183,0.007453274284489405,8.758333361148834,35.26666014160486,SIREN
0.001,128,3,1000,True,45,100,0.9,45.821389721488444,22.721758502896183,0.007412123493850185,9.709797024726868,35.303907919087806,SIREN
0.001,128,3,1000,True,45,100,1.0,43.85266119207732,22.721758502896183,0.007462378055788535,10.590431356430054,35.262047981649225,SIREN
