model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,412.1783174364123,22.721758502896183,0.006840301211923361,5.066802024841309,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,336.6596307103414,22.721758502896183,0.004706868901848793,5.063287019729614,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,415.7352247531794,22.721758502896183,0.0075411382131278515,5.061712026596069,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,391.71982461094376,22.721758502896183,0.007413952611386776,5.06294584274292,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,261.62865524598396,22.721758502896183,0.0040778955444693565,5.061992883682251,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,441.60898803547525,22.721758502896183,0.007445587310940027,5.052016496658325,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,333.0854341846553,22.721758502896183,0.004210907965898514,5.047307968139648,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,478.29939157672356,22.721758502896183,0.00837785005569458,5.047184705734253,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,360.35117292085005,22.721758502896183,0.004307459108531475,5.048009872436523,0.001,3,128,3,1,cuda,500,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,442.2772613893072,22.721758502896183,0.007029965054243803,5.136725187301636,0.001,3,128,3,1,cuda,500,True,100,45
