model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,527.5251814549866,22.721758502896183,0.014758458361029625,5.454522609710693,0.001,3,128,3,1,cuda,2000,0.1,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,732.3884483245482,22.721758502896183,0.019362211227416992,5.634464263916016,0.001,3,128,3,1,cuda,2000,0.1,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,575.2948290558065,22.721758502896183,0.01626354455947876,5.340678691864014,0.001,3,128,3,1,cuda,2000,0.1,100,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,558.1102535140562,22.721758502896183,0.015887973830103874,5.310291528701782,0.001,3,128,3,1,cuda,2000,0.1,100,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,596.2920157191265,22.721758502896183,0.01691470667719841,5.5419762134552,0.001,3,128,3,1,cuda,2000,0.1,100,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.1978826765395,22.721758502896183,0.007521059829741716,7.148873567581177,0.001,3,128,3,1,cuda,2000,0.2,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.0931983140897,22.721758502896183,0.009939657524228096,7.51031494140625,0.001,3,128,3,1,cuda,2000,0.2,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,330.3763648343373,22.721758502896183,0.0086292689666152,7.20758056640625,0.001,3,128,3,1,cuda,2000,0.2,100,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,288.18583971301877,22.721758502896183,0.0073195588774979115,7.211915731430054,0.001,3,128,3,1,cuda,2000,0.2,100,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,325.737468101573,22.721758502896183,0.009001187048852444,7.317978143692017,0.001,3,128,3,1,cuda,2000,0.2,100,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,262.0479365378179,22.721758502896183,0.005359266418963671,9.067766427993774,0.001,3,128,3,1,cuda,2000,0.3,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,365.96986644494643,22.721758502896183,0.007632148452103138,9.208839178085327,0.001,3,128,3,1,cuda,2000,0.3,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,275.60444904618475,22.721758502896183,0.006628687493503094,9.039247035980225,0.001,3,128,3,1,cuda,2000,0.3,100,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,261.73274870314594,22.721758502896183,0.0060549648478627205,8.99760127067566,0.001,3,128,3,1,cuda,2000,0.3,100,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,274.0950220151439,22.721758502896183,0.006460726726800203,9.092112064361572,0.001,3,128,3,1,cuda,2000,0.3,100,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,284.6391228978414,22.721758502896183,0.005189184565097094,10.731751203536987,0.001,3,128,3,1,cuda,2000,0.4,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,297.1995442708333,22.721758502896183,0.005599803291261196,10.85271167755127,0.001,3,128,3,1,cuda,2000,0.4,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,377.5538965758869,22.721758502896183,0.008408527821302414,10.675787210464478,0.001,3,128,3,1,cuda,2000,0.4,100,True,100,45
