model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_percent,outermost_linear
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1499.2845222033968,22.721758502896183,0.018945807591080666,11.116196870803833,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1723.5510584002677,22.721758502896183,0.02122247777879238,10.257830381393433,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1408.22960853832,22.721758502896183,0.01833469420671463,9.039999008178711,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1332.9871713416164,22.721758502896183,0.01857677288353443,9.8307204246521,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1389.0867702581158,22.721758502896183,0.016112860292196274,10.934344291687012,0.001,3,128,3,1,cuda,100,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1722.6545400351406,22.721758502896183,0.009667732752859592,42.84609079360962,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2002.5869114478749,22.721758502896183,0.011253715492784977,42.61854839324951,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1765.090148353832,22.721758502896183,0.010146950371563435,45.72896361351013,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1608.0934963813588,22.721758502896183,0.009651457890868187,45.841251850128174,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1662.264243170599,22.721758502896183,0.009774371050298214,49.46013522148132,0.001,3,128,3,1,cuda,500,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1701.7945087642236,22.721758502896183,0.008484911173582077,110.03692936897278,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1956.3370291060073,22.721758502896183,0.009563610889017582,105.09815979003906,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1740.304797314257,22.721758502896183,0.00888256449252367,106.54908418655396,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1660.9578143302376,22.721758502896183,0.00904538668692112,109.93233132362366,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1868.5059456576305,22.721758502896183,0.009056863375008106,103.85266017913818,0.001,3,128,3,1,cuda,1000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1848.0245918570113,22.721758502896183,0.008096489124000072,203.57908964157104,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2188.3049881818943,22.721758502896183,0.00906599871814251,206.63107538223267,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1822.9904004036982,22.721758502896183,0.008578424341976643,201.80815529823303,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1604.5808402882362,22.721758502896183,0.00814012624323368,222.14494228363037,0.001,3,128,3,1,cuda,2000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1879.8989957224733,22.721758502896183,0.008770892396569252,220.63124418258667,0.001,3,128,3,1,cuda,2000,0.5,True
