model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,676.4998718833668,22.721758502896183,0.016515927389264107,2.675074338912964,0.001,3,128,3,1,cuda,1000,0.1,1,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,828.0477639725569,22.721758502896183,0.01860320195555687,2.80179500579834,0.001,3,128,3,1,cuda,1000,0.1,1,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,657.9437097347724,22.721758502896183,0.016509603708982468,2.6027543544769287,0.001,3,128,3,1,cuda,1000,0.1,1,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,637.6302279430221,22.721758502896183,0.016556352376937866,2.6213595867156982,0.001,3,128,3,1,cuda,1000,0.1,1,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,655.9994470067771,22.721758502896183,0.016634775325655937,2.7954792976379395,0.001,3,128,3,1,cuda,1000,0.1,1,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,14557.499044354501,22.721758502896183,0.21751663088798523,2.672386884689331,0.001,3,128,3,1,cuda,1000,0.1,1,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,12132.1648521168,22.721758502896183,0.17700296640396118,2.819840431213379,0.001,3,128,3,1,cuda,1000,0.1,1,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11781.856148552544,22.721758502896183,0.18391457200050354,2.7262580394744873,0.001,3,128,3,1,cuda,1000,0.1,1,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,10277.478498629936,22.721758502896183,0.14567670226097107,2.6268439292907715,0.001,3,128,3,1,cuda,1000,0.1,1,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,19233.460323063086,22.721758502896183,0.2799457013607025,2.7610228061676025,0.001,3,128,3,1,cuda,1000,0.1,1,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,593.1583103246319,22.721758502896183,0.013058176264166832,3.727428436279297,0.001,3,128,3,1,cuda,1000,0.1,10,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,705.7893579526439,22.721758502896183,0.015172294341027737,3.8491532802581787,0.001,3,128,3,1,cuda,1000,0.1,10,True
