model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,635.0880043611947,22.721758502896183,0.0174550898373127,2.6052372455596924,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,819.3476104940596,22.721758502896183,0.021617557853460312,2.756666660308838,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,685.5863767570281,22.721758502896183,0.01911265216767788,2.5553767681121826,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,690.2214391419847,22.721758502896183,0.01940966211259365,2.585360050201416,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,685.0694091470046,22.721758502896183,0.01926404796540737,2.6159913539886475,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,845.4314209964859,22.721758502896183,0.022324612364172935,2.8263022899627686,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,684.0903640604083,22.721758502896183,0.01888149045407772,2.704113006591797,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,858.3836700970548,22.721758502896183,0.023110773414373398,2.7768023014068604,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,763.2586191118642,22.721758502896183,0.02030569314956665,2.6787116527557373,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,922.4284115629183,22.721758502896183,0.02420898713171482,2.9572057723999023,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,768.2923059425201,22.721758502896183,0.020857403054833412,2.8772311210632324,0.001,3,128,3,1,cuda,1000,0.1,1,True,100,45
