model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1609.177920013387,88.5230876056012,0.02611454389989376,0.5527448654174805,0.001,3,64,3,1,cuda,100,True
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1849.5035127489123,88.5230876056012,0.028229670599102974,0.5366799831390381,0.001,3,64,3,1,cuda,100,True
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1521.7584831513554,88.5230876056012,0.025829317048192024,0.5357167720794678,0.001,3,64,3,1,cuda,100,True
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1410.4127133534137,88.5230876056012,0.025388767942786217,0.5356338024139404,0.001,3,64,3,1,cuda,100,True
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1375.2898089754854,88.5230876056012,0.025941152125597,0.5388638973236084,0.001,3,64,3,1,cuda,100,True
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,21089.429219482096,88.5230876056012,0.3653615117073059,0.5381324291229248,0.001,3,64,3,1,cuda,100,False
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1991.2282554697958,88.5230876056012,0.03298289328813553,0.5378429889678955,0.001,3,64,3,1,cuda,100,False
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.026947103440761566,0.5383784770965576,0.001,3,64,3,1,cuda,100,False
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,17786.867923516984,88.5230876056012,0.24388986825942993,0.5387651920318604,0.001,3,64,3,1,cuda,100,False
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1435.838103716951,88.5230876056012,0.02918926067650318,0.5386078357696533,0.001,3,64,3,1,cuda,100,False
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1410.8422923464693,88.5230876056012,0.022739939391613007,2.668978691101074,0.001,3,64,3,1,cuda,500,True
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1596.223881201891,88.5230876056012,0.023775802925229073,2.66828989982605,0.001,3,64,3,1,cuda,500,True
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1335.5961632990295,88.5230876056012,0.022053556516766548,2.667760133743286,0.001,3,64,3,1,cuda,500,True
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1145.1762165850903,88.5230876056012,0.02035263180732727,2.668462038040161,0.001,3,64,3,1,cuda,500,True
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1156.4108216721052,88.5230876056012,0.02117563784122467,2.6678354740142822,0.001,3,64,3,1,cuda,500,True
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1999.8090473874665,88.5230876056012,0.035941679030656815,2.6778059005737305,0.001,3,64,3,1,cuda,500,False
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1813.4122178819443,88.5230876056012,0.027816323563456535,2.6764566898345947,0.001,3,64,3,1,cuda,500,False
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1481.269820166081,88.5230876056012,0.024999283254146576,2.676992416381836,0.001,3,64,3,1,cuda,500,False
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1384.3449291959505,88.5230876056012,0.025675734505057335,2.677069664001465,0.001,3,64,3,1,cuda,500,False
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1375.6327105296184,88.5230876056012,0.025988556444644928,2.6764023303985596,0.001,3,64,3,1,cuda,500,False
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1245.7265664219378,88.5230876056012,0.01980600319802761,5.333694934844971,0.001,3,64,3,1,cuda,1000,True
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1362.023213949548,88.5230876056012,0.020627465099096298,5.3416383266448975,0.001,3,64,3,1,cuda,1000,True
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1104.7516615942939,88.5230876056012,0.018381258472800255,5.33343243598938,0.001,3,64,3,1,cuda,1000,True
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1031.0275123933234,88.5230876056012,0.018301552161574364,5.332561254501343,0.001,3,64,3,1,cuda,1000,True
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,989.3178665181559,88.5230876056012,0.018410054966807365,5.333998918533325,0.001,3,64,3,1,cuda,1000,True
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,17794.947819925535,88.5230876056012,0.36210981011390686,5.409745454788208,0.001,3,64,3,1,cuda,1000,False
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1827.3461816014055,88.5230876056012,0.027684826403856277,5.3590264320373535,0.001,3,64,3,1,cuda,1000,False
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1412.2806368703982,88.5230876056012,0.02414100430905819,5.349005222320557,0.001,3,64,3,1,cuda,1000,False
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4208.269201807229,88.5230876056012,0.06897696852684021,5.350132465362549,0.001,3,64,3,1,cuda,1000,False
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1326.949438378514,88.5230876056012,0.024869821965694427,5.35015082359314,0.001,3,64,3,1,cuda,1000,False
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1022.3922055409137,88.5230876056012,0.016250761225819588,10.668591022491455,0.001,3,64,3,1,cuda,2000,True
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1185.943211648678,88.5230876056012,0.01818902976810932,10.664328813552856,0.001,3,64,3,1,cuda,2000,True
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,963.202992961429,88.5230876056012,0.01610291376709938,10.668933629989624,0.001,3,64,3,1,cuda,2000,True
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,911.2033380919511,88.5230876056012,0.01624811254441738,10.664041757583618,0.001,3,64,3,1,cuda,2000,True
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,882.712202978581,88.5230876056012,0.016701899468898773,10.677931547164917,0.001,3,64,3,1,cuda,2000,True
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,16472.467698920682,88.5230876056012,0.2918899953365326,10.704723834991455,0.001,3,64,3,1,cuda,2000,False
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7201.903379141566,88.5230876056012,0.09718751907348633,10.696442127227783,0.001,3,64,3,1,cuda,2000,False
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1438.998938462182,88.5230876056012,0.0238712877035141,10.701494932174683,0.001,3,64,3,1,cuda,2000,False
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11285.780588499832,88.5230876056012,0.18684475123882294,10.697619915008545,0.001,3,64,3,1,cuda,2000,False
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6092.973698178129,88.5230876056012,0.22772766649723053,10.696192979812622,0.001,3,64,3,1,cuda,2000,False
