lr,hidden_features,hidden_layers,max_iters,input_scale,weight_scale,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.0001,32,2,100,256.0,1.0,1881.9146994226908,302.4626334519573,0.041808664426207495,0.3872544765472412,27.4694842872852,FFNet2
0.0001,32,2,500,256.0,1.0,1582.6928879580823,302.4626334519573,0.03222657330334182,1.899847841262817,28.232088787627095,FFNet2
0.0001,32,2,1000,256.0,1.0,1576.3570866800537,302.4626334519573,0.03002494834363456,3.7959715366363525,28.248996773408862,FFNet2
0.0001,32,2,2000,256.0,1.0,1554.3144112909972,302.4626334519573,0.026569920033216444,7.594154357910156,28.30787632962251,FFNet2
0.0001,32,3,100,256.0,1.0,1604.2024663759203,206.01346619983843,0.03801390603184696,0.5302626132965088,28.16991660928074,FFNet2
0.0001,32,3,500,256.0,1.0,1576.7603554844377,206.01346619983843,0.036807309091091124,2.645256567001343,28.247743080577266,FFNet2
0.0001,32,3,1000,256.0,1.0,1556.5407301079317,206.01346619983843,0.02933778353035444,5.278785562515258,28.30288709434692,FFNet2
0.0001,32,3,2000,256.0,1.0,1446.9448251338688,206.01346619983843,0.02538088485598558,10.566912412643433,28.616260681416758,FFNet2
0.0001,32,4,100,256.0,1.0,1642.493214786228,156.20338983050848,0.04505305364727968,0.6783599853515625,28.087807628798124,FFNet2
0.0001,32,4,500,256.0,1.0,1576.1342691076807,156.20338983050848,0.0389036033302545,3.376010704040527,28.249573642503226,FFNet2
0.0001,32,4,1000,256.0,1.0,1474.214915129267,156.20338983050848,0.0257157322019338,6.74915132522583,28.542978351563995,FFNet2
0.0001,32,4,2000,256.0,1.0,1316.6742707810408,156.20338983050848,0.02319084629416458,13.487951278686523,29.030575382155984,FFNet2
0.0001,64,2,100,256.0,1.0,1596.730647328899,83.57128810226155,0.03647938333451744,0.5979379177093506,28.18944619276935,FFNet2
0.0001,64,2,500,256.0,1.0,1557.4529728288153,83.57128810226155,0.03171827830374236,2.9833054542541504,28.297577197024783,FFNet2
0.0001,64,2,1000,256.0,1.0,1355.1728533927376,83.57128810226155,0.02367284558713434,5.94363842010498,28.901751422233712,FFNet2
0.0001,64,2,2000,256.0,1.0,1145.3120829672857,83.57128810226155,0.02052476555109018,11.882827043533325,29.644057440569725,FFNet2
0.0001,64,3,100,256.0,1.0,1591.5809307542672,56.373203625912005,0.03626389577984806,0.8298255920410156,28.202718927292533,FFNet2
0.0001,64,3,500,256.0,1.0,1479.0411934195113,56.373203625912005,0.0280035160481929,4.136398077011108,28.53143377651649,FFNet2
0.0001,64,3,1000,256.0,1.0,1135.4908171749498,56.373203625912005,0.02114922106266018,8.262496185302734,29.701781245894978,FFNet2
0.0001,64,3,2000,256.0,1.0,926.893815365629,56.373203625912005,0.016831450536847058,16.52085018157959,30.55230265480437,FFNet2
0.0001,64,4,100,256.0,1.0,1576.5815663696453,42.53144286905755,0.03883208297193046,1.060926580429077,28.24830084306793,FFNet2
0.0001,64,4,500,256.0,1.0,1343.074479428129,42.53144286905755,0.02495536170899866,5.292819213867188,28.94882205367525,FFNet2
0.0001,64,4,1000,256.0,1.0,942.5100046017403,42.53144286905755,0.01702749282121654,10.581445264816285,30.510720801644055,FFNet2
0.0001,64,4,2000,256.0,1.0,759.1194556873327,42.53144286905755,0.013865009695291461,21.163179302215575,31.433685130785268,FFNet2
0.0001,128,2,100,256.0,1.0,1574.750107461094,22.0510248205483,0.03317502886056894,1.256822443008423,28.253240071666447,FFNet2
0.0001,128,2,500,256.0,1.0,984.2503223832831,22.0510248205483,0.0174705050885677,6.248704719543457,30.307770667492747,FFNet2
