model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,input_scale,weight_scale,original_psnr
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.7927399702978,302.4626334519573,0.0277046952396631,0.3922374248504638,0.001,32,2,100,256.0,1.0,28.092209534379855
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0093773531623,302.4626334519573,0.0299739968031644,0.4146780967712402,0.001,32,2,100,256.0,1.0,27.393987201559455
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.2334821055051,302.4626334519573,0.0268503725528717,0.3826611042022705,0.001,32,2,100,256.0,1.0,28.355618383469533
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.7848281145416,302.4626334519573,0.026858951896429,0.3909995555877685,0.001,32,2,100,256.0,1.0,28.63873792655553
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6914977618808,302.4626334519573,0.0272625628858804,0.3817484378814697,0.001,32,2,100,256.0,1.0,28.762085747487426
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1532.8587226510208,302.4626334519573,0.0253356620669364,1.8989644050598145,0.001,32,2,500,256.0,1.0,28.342494192228635
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1809.028051006108,302.4626334519573,0.0278277304023504,1.8977329730987549,0.001,32,2,500,256.0,1.0,27.62306247632697
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1453.181000041834,302.4626334519573,0.0247434619814157,1.897379159927368,0.001,32,2,500,256.0,1.0,28.574318378250577
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1335.2374497991968,302.4626334519573,0.0243715588003397,1.8987724781036377,0.001,32,2,500,256.0,1.0,28.941930441394486
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1320.3484680911145,302.4626334519573,0.0252004154026508,1.8985037803649905,0.001,32,2,500,256.0,1.0,28.990629828667682
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1477.7677872950137,302.4626334519573,0.0246649608016014,3.797387838363648,0.001,32,2,1000,256.0,1.0,28.501453532871352
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1751.5477875041834,302.4626334519573,0.0270433258265256,3.7952218055725098,0.001,32,2,1000,256.0,1.0,27.763295580889682
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1403.9140546561246,302.4626334519573,0.0241355746984481,3.7935307025909424,0.001,32,2,1000,256.0,1.0,28.724110269640963
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1292.885679436496,302.4626334519573,0.0239221267402172,3.796065092086792,0.001,32,2,1000,256.0,1.0,29.081914237203197
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1264.7681324255354,302.4626334519573,0.0245035029947757,3.794841289520264,0.001,32,2,1000,256.0,1.0,29.17740634352502
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1444.0494177229752,302.4626334519573,0.0242460556328296,7.601684808731079,0.001,32,2,2000,256.0,1.0,28.60169493014659
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1695.7341043862953,302.4626334519573,0.0264233741909265,7.588006258010864,0.001,32,2,2000,256.0,1.0,27.90393794036767
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1384.3757621632362,302.4626334519573,0.0238935574889183,7.58846378326416,0.001,32,2,2000,256.0,1.0,28.784975617645514
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1272.9909350945447,302.4626334519573,0.0237159114331007,7.58912205696106,0.001,32,2,2000,256.0,1.0,29.14926237691938
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1242.0410548443774,302.4626334519573,0.0241208225488662,7.588704824447632,0.001,32,2,2000,256.0,1.0,29.256155973728347
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1604.2877068168507,206.0134661998384,0.0267899669706821,0.5298459529876709,0.001,32,3,100,256.0,1.0,28.14469293124236
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1898.5911889746485,206.0134661998384,0.0401635468006134,0.5295975208282471,0.001,32,3,100,256.0,1.0,27.413200877087476
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1526.8734573711513,206.0134661998384,0.0378229320049285,0.5302879810333252,0.001,32,3,100,256.0,1.0,28.359485032252046
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1418.6575207078313,206.0134661998384,0.0258561819791793,0.5300877094268799,0.001,32,3,100,256.0,1.0,28.67873984048626
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1385.0778151669176,206.0134661998384,0.0278661791235208,0.5293984413146973,0.001,32,3,100,256.0,1.0,28.782773755483756
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1393.9391681308568,206.0134661998384,0.0234451349824666,2.6413416862487797,0.001,32,3,500,256.0,1.0,28.755077273161103
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1636.1749171163822,206.0134661998384,0.0255308803170919,2.665855884552002,0.001,32,3,500,256.0,1.0,28.059218182106974
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1341.9625598749162,206.0134661998384,0.0232932846993207,2.639599084854126,0.001,32,3,500,256.0,1.0,28.920111493771472
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1202.6129374267905,206.0134661998384,0.0226417761296033,2.640373468399048,0.001,32,3,500,256.0,1.0,29.3962567719471
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1171.3554099209337,206.0134661998384,0.0231469497084617,2.6402032375335693,0.001,32,3,500,256.0,1.0,29.510628610828917
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1307.509700259371,206.0134661998384,0.0223562903702259,5.280311822891235,0.001,32,3,1000,256.0,1.0,29.033066292365802
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1554.6664914867804,206.0134661998384,0.0243675839155912,5.278540372848511,0.001,32,3,1000,256.0,1.0,28.281143106721125
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1284.161748556727,206.0134661998384,0.0226960703730583,5.276690483093262,0.001,32,3,1000,256.0,1.0,29.111318193633412
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1156.3721670536313,206.0134661998384,0.0219555478543043,5.277764558792114,0.001,32,3,1000,256.0,1.0,29.566539187609393
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1137.7614690532964,206.0134661998384,0.0225598514080047,5.277566909790039,0.001,32,3,1000,256.0,1.0,29.637003267187808
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1282.1798482994477,206.0134661998384,0.0218847058713436,10.557174921035768,0.001,32,3,2000,256.0,1.0,29.118026018636797
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1508.1206244247824,206.0134661998384,0.0236893929541111,10.552407503128052,0.001,32,3,2000,256.0,1.0,28.413154695496562
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1212.1414316118642,206.0134661998384,0.0215325895696878,10.552496671676636,0.001,32,3,2000,256.0,1.0,29.36198252876533
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1127.8049215089525,206.0134661998384,0.0214347578585147,10.556188821792604,0.001,32,3,2000,256.0,1.0,29.67517563338734
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1089.2683716637382,206.0134661998384,0.0217157788574695,10.552637338638306,0.001,32,3,2000,256.0,1.0,29.82616655261525
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1569.1497631149598,156.20338983050848,0.026018027216196,0.6803219318389893,0.001,32,4,100,256.0,1.0,28.240871531785736
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1802.058631662065,156.20338983050848,0.0278682727366685,0.67661452293396,0.001,32,4,100,256.0,1.0,27.639826317172435
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1494.875732095047,156.20338983050848,0.025628300383687,0.676788330078125,0.001,32,4,100,256.0,1.0,28.451464571825827
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1399.327921059237,156.20338983050848,0.03021508641541,0.6763296127319336,0.001,32,4,100,256.0,1.0,28.73832048986907
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1370.3447252551873,156.20338983050848,0.0290191378444433,0.6765215396881104,0.001,32,4,100,256.0,1.0,28.829217163233558
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1242.2609801183903,156.20338983050848,0.0214280113577842,3.3735592365264893,0.001,32,4,500,256.0,1.0,29.25538704682783
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1484.3025199757362,156.20338983050848,0.0233959462493658,3.373739957809448,0.001,32,4,500,256.0,1.0,28.482291239922294
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1212.368132686998,156.20338983050848,0.0215054713189601,3.3723273277282715,0.001,32,4,500,256.0,1.0,29.36117036429538
