lr,hidden_features,hidden_layers,max_iters,fourier_features,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.0001,32,2,100,32,1578.5397685795265,241.37835279267907,0.03330823183059687,0.2274884223937988,28.242926315337513,FFNet
0.0001,32,2,100,64,1578.2602535140563,146.62219666474985,0.033393886685371334,0.2567225456237793,28.24361362405229,FFNet
0.0001,32,2,500,32,1576.646173103874,241.37835279267907,0.028306151740252927,0.9823730945587158,28.2481581228321,FFNet
0.0001,32,2,500,64,1577.7040121423192,146.62219666474985,0.02834794819355007,1.2432710647583007,28.245383186635063,FFNet
0.0001,32,2,1000,32,1575.580045834379,241.37835279267907,0.02775923591107124,1.9781155109405517,28.25123524764384,FFNet
0.0001,32,2,1000,64,1569.195970208961,146.62219666474985,0.02693049125373359,2.4895495176315308,28.26843178408891,FFNet
0.0001,32,2,2000,32,1559.5343019212264,241.37835279267907,0.02709165550768371,3.898132395744324,28.296692803212114,FFNet
0.0001,32,2,2000,64,1482.3779106007362,146.62219666474985,0.025509576126933046,4.9665988206863405,28.541898508520056,FFNet
0.0001,32,3,100,32,1576.5856743379768,181.0480473372781,0.03189328983426089,0.27819631099700926,28.24828959473249,FFNet
0.0001,32,3,100,64,1576.5833269275015,121.93974175035869,0.033342074789106814,0.3242207765579223,28.24829540049957,FFNet
0.0001,32,3,500,32,1576.5682468153866,181.0480473372781,0.02810554727911944,1.3399958610534668,28.248331177321244,FFNet
0.0001,32,3,500,64,1558.984883544595,121.93974175035869,0.027252260409295497,1.6057062149047852,28.29261571408042,FFNet
0.0001,32,3,1000,32,1574.746143297147,181.0480473372781,0.02765810191631312,2.65739643573761,28.25400723941909,FFNet
0.0001,32,3,1000,64,1503.5583273196955,121.93974175035869,0.02610571384429928,3.202922511100769,28.476398003843002,FFNet
0.0001,32,3,2000,32,1521.2891036803464,181.0480473372781,0.02662567906081672,5.3085119247436525,28.39699538995611,FFNet
0.0001,32,3,2000,64,1303.6116999246988,121.93974175035869,0.02305554486811156,6.400653910636902,29.13541949956649,FFNet
0.0001,32,4,100,32,1576.5815663696453,144.84529445180837,0.033092965371906716,0.345952820777893,28.24830084306793,FFNet
0.0001,32,4,100,64,1576.5815663696453,104.37003683995087,0.028191285021603053,0.4149388551712036,28.24830084306793,FFNet
0.0001,32,4,500,32,1576.5815663696453,144.84529445180837,0.027944723144173574,1.693743348121643,28.24830084306793,FFNet
0.0001,32,4,500,64,1574.1014039229835,104.37003683995087,0.02758023664355273,1.9700561046600342,28.255244215397305,FFNet
