model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fourier_features,scale,original_psnr
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,241.37835279267907,0.0277865715324878,0.2387351989746093,0.001,32,2,100,32,10,28.092026811291618
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1906.9201232011376,241.37835279267907,0.0304436180740594,0.2208778858184814,0.001,32,2,100,32,10,27.394190470055698
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1527.4151292670683,241.37835279267907,0.0263769887387752,0.2352235317230224,0.001,32,2,100,32,10,28.35794460729748
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,241.37835279267907,0.0266671180725097,0.246192455291748,0.001,32,2,100,32,10,28.63819676769929
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,241.37835279267907,0.0270384512841701,0.2170064449310302,0.001,32,2,100,32,10,28.762149161719424
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,241.37835279267907,0.0278732702136039,0.2405605316162109,0.001,32,2,100,32,20,28.092026811291618
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,241.37835279267907,0.0303011517971754,0.2012622356414795,0.001,32,2,100,32,20,27.39395688165706
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,241.37835279267907,0.0273646619170904,0.223362922668457,0.001,32,2,100,32,20,28.355174592972276
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1432.0119488370146,241.37835279267907,0.0277594290673732,0.2257182598114013,0.001,32,2,100,32,20,28.638049069877596
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,241.37835279267907,0.0276186279952526,0.2097864151000976,0.001,32,2,100,32,20,28.762149161719424
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,146.62219666474985,0.0274934340268373,0.2722628116607666,0.001,32,2,100,64,10,28.092026811291618
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1908.2977561286812,146.62219666474985,0.0303927604109048,0.2548592090606689,0.001,32,2,100,64,10,27.391054091356253
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.359874393407,146.62219666474985,0.0259743481874465,0.2520606517791748,0.001,32,2,100,64,10,28.355259215815742
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.8857317289994,146.62219666474985,0.0264784339815378,0.2581400871276855,0.001,32,2,100,64,10,28.63843187261486
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.652607827142,146.62219666474985,0.0267346519976854,0.2550275325775146,0.001,32,2,100,64,10,28.762207110016952
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,146.62219666474985,0.0275733768939971,0.2853181362152099,0.001,32,2,100,64,20,28.092026811291618
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1911.523182574046,146.62219666474985,0.0313774049282074,0.2499415874481201,0.001,32,2,100,64,20,27.38371979342761
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,146.62219666474985,0.0272726397961378,0.2502987384796142,0.001,32,2,100,64,20,28.355174592972276
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.9652633973394,146.62219666474985,0.0271621122956275,0.2930138111114502,0.001,32,2,100,64,20,28.638190657797722
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,146.62219666474985,0.0275208726525306,0.2500298023223877,0.001,32,2,100,64,20,28.762149161719424
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1513.788529116466,241.37835279267907,0.0253640692681074,0.9708337783813475,0.001,32,2,500,32,10,28.396863387631473
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1894.7684435659305,241.37835279267907,0.0288281720131635,0.9716618061065674,0.001,32,2,500,32,10,27.421954056113755
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1514.5175702811246,241.37835279267907,0.025603424757719,0.9728944301605223,0.001,32,2,500,32,10,28.39477232714673
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1324.380288079401,241.37835279267907,0.0242950562387704,0.9704046249389648,0.001,32,2,500,32,10,28.97738840626996
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1231.824174301372,241.37835279267907,0.0237580854445695,1.018618106842041,0.001,32,2,500,32,10,29.292028259874677
