lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,2000,True,15,15,649.2452782484103,22.721758502896183,0.01121528372168536,20.260968732833863,32.09998991125337,SIREN
0.001,128,3,2000,True,15,30,446.65590408509036,22.721758502896183,0.007670779060572319,20.25458407402039,33.743815728737296,SIREN
0.001,128,3,2000,True,15,45,370.21438357597054,22.721758502896183,0.0064063316211104004,20.254828357696532,34.553311950636655,SIREN
0.001,128,3,2000,True,15,60,345.1391843415328,22.721758502896183,0.00626567369326946,20.25578908920288,34.845271833162336,SIREN
0.001,128,3,2000,True,15,80,336.4948643532463,22.721758502896183,0.006319852638989661,20.2533935546875,34.94576626427944,SIREN
0.001,128,3,2000,True,15,100,341.36306214441095,22.721758502896183,0.0064664687961339395,20.256350135803224,34.88850241110768,SIREN
0.001,128,3,2000,True,30,15,582.8640112533468,22.721758502896183,0.01008773203939196,20.25717740058899,32.56714528528071,SIREN
0.001,128,3,2000,True,30,30,409.0328138073126,22.721758502896183,0.00707769151777024,20.25416507720947,34.11691864412715,SIREN
0.001,128,3,2000,True,30,45,343.79840873912315,22.721758502896183,0.006165341660380319,20.254389810562134,34.870101007328756,SIREN
0.001,128,3,2000,True,30,60,331.23808646042505,22.721758502896183,0.00595916965976352,20.253305435180664,35.05373608171931,SIREN
0.001,128,3,2000,True,30,80,269.5585351823962,22.721758502896183,0.00457033375278112,20.254426193237304,35.93940842409438,SIREN
0.001,128,3,2000,True,30,100,251.19087548109104,22.721758502896183,0.00421661809086794,20.254811429977416,36.22550667450488,SIREN
0.001,128,3,2000,True,45,15,609.6456863913988,22.721758502896183,0.01041016187518828,20.25288348197937,32.38982033694637,SIREN
0.001,128,3,2000,True,45,30,417.8940794427711,22.721758502896183,0.00731052123010152,20.254234981536865,34.00690042821434,SIREN
0.001,128,3,2000,True,45,45,358.3417756965361,22.721758502896183,0.00648645097389812,20.253176069259645,34.67646284221608,SIREN
0.001,128,3,2000,True,45,60,335.4488631609772,22.721758502896183,0.0060255588963627395,20.254851722717284,34.99481976577981,SIREN
0.001,128,3,2000,True,45,80,294.70612606676707,22.721758502896183,0.00492716981098052,20.25675549507141,35.55240946828267,SIREN
0.001,128,3,2000,True,45,100,346.24677564424366,22.721758502896183,0.00585774714127176,20.253733539581297,34.90720384699856,SIREN
0.001,128,3,2000,True,60,15,633.1027584295516,22.721758502896183,0.01076805721968408,20.256023502349855,32.220089801120274,SIREN
0.001,128,3,2000,True,60,30,413.6929156731091,22.721758502896183,0.0072951717302203,20.254805612564088,34.066048427794044,SIREN
