model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,610.481680628765,22.721758502896183,0.0101089579984545,20.26892924308777,0.001,128,3,2000,True,15,15,32.340789126257626
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,775.8809561161312,22.721758502896183,0.0123022636398673,20.262959957122803,0.001,128,3,2000,True,15,15,31.29956456462322
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,685.7266984605087,22.721758502896183,0.0111961495131254,20.265215396881104,0.001,128,3,2000,True,15,15,31.836004899122614
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,573.4549578522423,22.721758502896183,0.0109006687998771,20.252757787704468,0.001,128,3,2000,True,15,15,32.612522369473055
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,600.6820981844043,22.721758502896183,0.0115683786571025,20.25498127937317,0.001,128,3,2000,True,15,15,32.41106859679032
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,612.5685057940094,22.721758502896183,0.0101052206009626,20.256774425506592,0.001,128,3,2000,True,15,30,32.32596884261729
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,684.1677700384873,22.721758502896183,0.0107639255002141,20.256712675094604,0.001,128,3,2000,True,15,30,31.845889372988204
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,584.2985117553548,22.721758502896183,0.0095310490578413,20.2578239440918,0.001,128,3,2000,True,15,30,32.53116768630466
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,526.1611158174364,22.721758502896183,0.0100009096786379,20.26124691963196,0.001,128,3,2000,True,15,30,32.98632798916876
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,507.1241528614458,22.721758502896183,0.0100375553593039,20.253329038619995,0.001,128,3,2000,True,15,30,33.14637253532463
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,687.3843459776606,22.721758502896183,0.0112625798210501,20.251678228378296,0.001,128,3,2000,True,15,45,31.825519111796346
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,716.7499228685575,22.721758502896183,0.0110490163788199,20.252726793289185,0.001,128,3,2000,True,15,45,31.64383893884196
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,615.6169273447958,22.721758502896183,0.0103201596066355,20.254080295562744,0.001,128,3,2000,True,15,45,32.30440995841295
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,529.0337914156627,22.721758502896183,0.0098637230694293,20.252724647521973,0.001,128,3,2000,True,15,45,32.96268135793038
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,499.4434443503179,22.721758502896183,0.0095553305000066,20.253207445144653,0.001,128,3,2000,True,15,45,33.212652317750226
