lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,5000,True,45,100,0.1,100,590.0438434074841,22.721758502896183,0.015824065357446626,13.899025344848633,32.54282174771174,SIREN
0.001,128,3,5000,True,45,100,0.2,100,359.4951321562291,22.721758502896183,0.008544970932416565,18.45196338891983,34.69088189753597,SIREN
0.001,128,3,5000,True,45,100,0.3,100,300.7099212605631,22.721758502896183,0.00624631789978589,22.841602182388307,35.464323004352025,SIREN
0.001,128,3,5000,True,45,100,0.4,100,278.09911782546857,22.721758502896183,0.00547407115809614,26.90809623003006,35.821953568865766,SIREN
0.001,128,3,5000,True,45,100,0.5,100,264.15149138219545,22.721758502896183,0.004969455115497055,30.98650790452957,36.06392167735631,SIREN
0.001,128,3,5000,True,45,100,0.6,100,294.16040620816597,22.721758502896183,0.00529462093254546,35.04554065465927,35.637031567932056,SIREN
0.001,128,3,5000,True,45,100,0.7,100,275.1497833783049,22.721758502896183,0.004777062870562026,39.12067346572876,35.990704980285116,SIREN
0.001,128,3,5000,True,45,100,0.8,100,300.144496344754,22.721758502896183,0.00518453401746223,43.179169142246245,35.620595092185866,SIREN
0.001,128,3,5000,True,45,100,0.9,100,302.9738536175954,22.721758502896183,0.005079512216616365,47.26413748264313,35.53995052084158,SIREN
0.001,128,3,5000,True,45,100,1.0,100,315.8704948701054,22.721758502896183,0.005182768218219235,51.33699859380722,35.35448895298695,SIREN
