model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,490.890929603832,22.721758502896183,0.0134603390470147,13.923041820526125,0.001,128,3,5000,0.1,100,True,100,45,33.28766541233115
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,710.8734129225235,22.721758502896183,0.0184143539518117,14.257447481155396,0.001,128,3,5000,0.1,100,True,100,45,31.679592771003385
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,507.8305003869645,22.721758502896183,0.0137798367068171,13.133691787719728,0.001,128,3,5000,0.1,100,True,100,45,33.14032767644976
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,480.0634046603079,22.721758502896183,0.0134740378707647,13.196420431137083,0.001,128,3,5000,0.1,100,True,100,45,33.38452947900706
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,520.0111369959003,22.721758502896183,0.0143489697948098,13.548552751541138,0.001,128,3,5000,0.1,100,True,100,45,33.03738903816771
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,694.1751184425201,22.721758502896183,0.0181332621723413,14.526883840560911,0.001,128,3,5000,0.1,100,True,100,45,31.782825057191822
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,562.5560680220883,22.721758502896183,0.0152161354199051,13.956072330474854,0.001,128,3,5000,0.1,100,True,100,45,32.6958573519414
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,714.3037370837517,22.721758502896183,0.019279034808278,14.40018367767334,0.001,128,3,5000,0.1,100,True,100,45,31.65868626501142
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,582.6870372113453,22.721758502896183,0.0151472790166735,14.029823064804075,0.001,128,3,5000,0.1,100,True,100,45,32.54316192132582
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,879.8108161813923,22.721758502896183,0.0223200749605894,15.16638994216919,0.001,128,3,5000,0.1,100,True,100,45,30.753622519820997
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,674.8133432166164,22.721758502896183,0.0181175526231527,14.718839645385742,0.001,128,3,5000,0.1,100,True,100,45,31.905678873751132
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,515.6126890373996,22.721758502896183,0.0136771844699978,12.959897756576538,0.001,128,3,5000,0.1,100,True,100,45,33.074279521277845
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,614.7459590968039,22.721758502896183,0.0170853696763515,14.142983198165894,0.001,128,3,5000,0.1,100,True,100,45,32.31055866090337
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,590.1765512571118,22.721758502896183,0.0153112886473536,13.995089769363403,0.001,128,3,5000,0.1,100,True,100,45,32.487695985369825
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,536.330618045097,22.721758502896183,0.0147216953337192,13.485867261886597,0.001,128,3,5000,0.1,100,True,100,45,32.90318958090674
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,481.3866756086848,22.721758502896183,0.0129495467990636,13.371843099594116,0.001,128,3,5000,0.1,100,True,100,45,33.37257483579445
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,567.1153219649431,22.721758502896183,0.015375099144876,13.197271347045898,0.001,128,3,5000,0.1,100,True,100,45,32.66080167827528
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,526.1916598686412,22.721758502896183,0.0143739003688097,13.97496247291565,0.001,128,3,5000,0.1,100,True,100,45,32.986075885250685
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,573.2445537357764,22.721758502896183,0.0158205814659595,13.980337619781494,0.001,128,3,5000,0.1,100,True,100,45,32.614116114771676
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,578.0573348079819,22.721758502896183,0.0154757648706436,14.014907598495483,0.001,128,3,5000,0.1,100,True,100,45,32.577806325683255
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,306.0147451786312,22.721758502896183,0.0074724131263792,18.021758556365967,0.001,128,3,5000,0.2,100,True,100,45,35.34009195503056
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,414.1896910558903,22.721758502896183,0.0094637824222445,18.73510432243347,0.001,128,3,5000,0.2,100,True,100,45,34.02552263415974
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,312.24071023678044,22.721758502896183,0.0076250778511166,18.004415035247803,0.001,128,3,5000,0.2,100,True,100,45,35.25262022626988
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,311.4518490629183,22.721758502896183,0.0070171956904232,18.047208309173584,0.001,128,3,5000,0.2,100,True,100,45,35.26360635180182
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,308.830382728832,22.721758502896183,0.0078363353386521,18.12868809700012,0.001,128,3,5000,0.2,100,True,100,45,35.300315291163734
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,435.2816631107765,22.721758502896183,0.0104902619495987,19.029906272888184,0.001,128,3,5000,0.2,100,True,100,45,33.809811765270865
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,328.0501328229585,22.721758502896183,0.0080142421647906,18.31496548652649,0.001,128,3,5000,0.2,100,True,100,45,35.038113308339106
