model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN_IMP,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,240.8506251568775,22.721758502896183,0.0056541850790381,53.25977826118469,0.001,128,3,5000,True,100,45,36.3800377085141
SIREN_IMP,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,340.15400272966866,22.721758502896183,0.0081532038748264,52.809260845184326,0.001,128,3,5000,True,100,45,34.88075962921688
SIREN_IMP,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,248.9001356990462,22.721758502896183,0.0061968038789927,52.81648278236389,0.001,128,3,5000,True,100,45,36.23726415383362
SIREN_IMP,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,250.91887733224564,22.721758502896183,0.0064313318580389,52.8311915397644,0.001,128,3,5000,True,100,45,36.20218213029091
SIREN_IMP,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,241.40712067018072,22.721758502896183,0.0061290804296731,52.84088659286499,0.001,128,3,5000,True,100,45,36.37001472640565
SIREN_IMP,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,337.518265771419,22.721758502896183,0.0080956686288118,52.85259795188904,0.001,128,3,5000,True,100,45,34.91454267869439
SIREN_IMP,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,271.09500894201807,22.721758502896183,0.0067691695876419,52.7988395690918,0.001,128,3,5000,True,100,45,35.866300267929994
SIREN_IMP,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,331.6248300493641,22.721758502896183,0.0080819502472877,52.80597424507141,0.001,128,3,5000,True,100,45,34.99104508343285
SIREN_IMP,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,311.36996815386544,22.721758502896183,0.0072205709293484,52.80093288421631,0.001,128,3,5000,True,100,45,35.264748265145144
SIREN_IMP,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.1940104166667,22.721758502896183,0.0089618489146232,52.78686428070069,0.001,128,3,5000,True,100,45,34.26250591926028
SIREN_IMP,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,313.8768197791165,22.721758502896183,0.00787846557796,52.81128859519959,0.001,128,3,5000,True,100,45,35.22992305108277
SIREN_IMP,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,261.16627578020416,22.721758502896183,0.005523313768208,52.808828830718994,0.001,128,3,5000,True,100,45,36.02834452688375
SIREN_IMP,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,269.96825975778114,22.721758502896183,0.0071215815842151,52.81060338020325,0.001,128,3,5000,True,100,45,35.88438841727912
SIREN_IMP,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,312.07446844670346,22.721758502896183,0.0073006898164749,52.7905502319336,0.001,128,3,5000,True,100,45,35.25493309311226
SIREN_IMP,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,266.0320736069277,22.721758502896183,0.0066819074563682,52.80752944946289,0.001,128,3,5000,True,100,45,35.948175491631446
SIREN_IMP,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,298.46840748410307,22.721758502896183,0.0066478964872658,52.83089852333069,0.001,128,3,5000,True,100,45,35.44853180408719
SIREN_IMP,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,238.0307741382196,22.721758502896183,0.0056692170910537,52.83696484565735,0.001,128,3,5000,True,100,45,36.431184397172245
SIREN_IMP,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,300.2152477095884,22.721758502896183,0.0072494437918066,52.81210923194885,0.001,128,3,5000,True,100,45,35.42318802805308
SIREN_IMP,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,281.2836096992135,22.721758502896183,0.0071771894581615,52.80608868598938,0.001,128,3,5000,True,100,45,35.70607122057176
SIREN_IMP,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,268.60671331157965,22.721758502896183,0.0067321760579943,52.78630709648132,0.001,128,3,5000,True,100,45,35.90634685937969
