model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,sample_fraction,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,390.6705820678548,22.721758502896183,0.0088235437870025,2.234803438186645,0.001,128,3,1000,0.1,True,100,45,34.27940839171721
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,502.8426074088019,22.721758502896183,0.0111718261614441,1.8262395858764648,0.001,128,3,1000,0.1,True,100,45,33.18319479079838
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,366.2953192980255,22.721758502896183,0.0082863187417387,1.8632209300994875,0.001,128,3,1000,0.1,True,100,45,34.55920179695848
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,347.2272945950468,22.721758502896183,0.0081767253577709,1.8733155727386477,0.001,128,3,1000,0.1,True,100,45,34.791376922105
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,362.2854098686413,22.721758502896183,0.0087496312335133,1.902642011642456,0.001,128,3,1000,0.1,True,100,45,34.60700704495537
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,480.0400455990629,22.721758502896183,0.0109064821153879,1.8686604499816892,0.001,128,3,1000,0.1,True,100,45,33.38474080438872
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,396.62759763010376,22.721758502896183,0.0089060273021459,1.894383430480957,0.001,128,3,1000,0.1,True,100,45,34.21368619327765
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,491.7537323774264,22.721758502896183,0.0111746713519096,1.8393559455871584,0.001,128,3,1000,0.1,True,100,45,33.28003883897588
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,444.1877693063922,22.721758502896183,0.009599607437849,1.866114854812622,0.001,128,3,1000,0.1,True,100,45,33.72184952672312
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,586.7316976238286,22.721758502896183,0.0125663671642541,1.8755879402160645,0.001,128,3,1000,0.1,True,100,45,32.51311997569232
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,480.3805809174197,22.721758502896183,0.0111654493957757,1.8931646347045896,0.001,128,3,1000,0.1,True,100,45,33.381661057624235
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,422.7632090863454,22.721758502896183,0.0087352218106389,1.8500657081604004,0.001,128,3,1000,0.1,True,100,45,33.93654362908451
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,401.8879345507028,22.721758502896183,0.0098325768485665,1.872161626815796,0.001,128,3,1000,0.1,True,100,45,34.156465807355616
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,429.2575418862952,22.721758502896183,0.0090927788987755,1.8708183765411377,0.001,128,3,1000,0.1,True,100,45,33.87033614483752
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.34093666332,22.721758502896183,0.0091257374733686,1.854866981506348,0.001,128,3,1000,0.1,True,100,45,34.260879241974536
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.2031838290663,22.721758502896183,0.0086566107347607,1.8658230304718015,0.001,128,3,1000,0.1,True,100,45,34.26240433902988
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,378.956453417838,22.721758502896183,0.0084676397964358,1.8479020595550537,0.001,128,3,1000,0.1,True,100,45,34.41162241508531
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,389.1359382843876,22.721758502896183,0.0087492056190967,1.83632230758667,0.001,128,3,1000,0.1,True,100,45,34.296502072518216
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,417.186109019411,22.721758502896183,0.0097552137449383,1.8319571018218996,0.001,128,3,1000,0.1,True,100,45,33.99421709407259
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,401.9501273322456,22.721758502896183,0.0091772126033902,1.844271183013916,0.001,128,3,1000,0.1,True,100,45,34.1557937819024
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,328.7080810220047,22.721758502896183,0.007841064594686,2.985880851745605,0.001,128,3,1000,0.2,True,100,45,35.02941167776051
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,471.84516843415327,22.721758502896183,0.0101588871330022,2.984961032867432,0.001,128,3,1000,0.2,True,100,45,33.4595203641682
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,339.2306844565763,22.721758502896183,0.0080712791532278,2.9960310459136963,0.001,128,3,1000,0.2,True,100,45,34.89256420136835
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,315.59791771251673,22.721758502896183,0.0076827080920338,2.9833786487579346,0.001,128,3,1000,0.2,True,100,45,35.20617419657296
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,328.3566139558233,22.721758502896183,0.00767651386559,2.9946188926696777,0.001,128,3,1000,0.2,True,100,45,35.034057802354866
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,437.5526938483099,22.721758502896183,0.0101905828341841,3.1109960079193115,0.001,128,3,1000,0.2,True,100,45,33.787211867927276
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,359.7076456869143,22.721758502896183,0.0083866817876696,2.9883437156677246,0.001,128,3,1000,0.2,True,100,45,34.63801879799432
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,420.8872272945951,22.721758502896183,0.0099812485277652,2.984715461730957,0.001,128,3,1000,0.2,True,100,45,33.95585802395748
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,378.9146507906627,22.721758502896183,0.0083051910623908,2.994262218475342,0.001,128,3,1000,0.2,True,100,45,34.41210151107482
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,477.2431000041834,22.721758502896183,0.0108964378014206,3.015377283096313,0.001,128,3,1000,0.2,True,100,45,33.41011890699334
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,403.3985316265061,22.721758502896183,0.0094643635675311,2.996046304702759,0.001,128,3,1000,0.2,True,100,45,34.140172357224365
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,340.3178717474063,22.721758502896183,0.0072381282225251,2.9828453063964844,0.001,128,3,1000,0.2,True,100,45,34.8786679215592
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,346.78158467202144,22.721758502896183,0.0085519775748252,2.990190267562866,0.001,128,3,1000,0.2,True,100,45,34.79695521922756
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,421.8219557919177,22.721758502896183,0.0088524343445897,3.006086826324463,0.001,128,3,1000,0.2,True,100,45,33.94622367789616
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,336.50602409638554,22.721758502896183,0.0080002648755908,3.00518536567688,0.001,128,3,1000,0.2,True,100,45,34.927587054421586
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,346.16205969712183,22.721758502896183,0.0077518075704574,2.9958086013793945,0.001,128,3,1000,0.2,True,100,45,34.804720824753325
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,335.9715136588019,22.721758502896183,0.0077207889407873,3.028317928314209,0.001,128,3,1000,0.2,True,100,45,34.934490927619265
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,331.82011117386213,22.721758502896183,0.007779729552567,2.991356134414673,0.001,128,3,1000,0.2,True,100,45,34.98848844272406
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,350.5410862198795,22.721758502896183,0.00847212318331,2.986191749572754,0.001,128,3,1000,0.2,True,100,45,34.75012620693133
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,353.49099000167337,22.721758502896183,0.0084223449230194,3.0360121726989746,0.001,128,3,1000,0.2,True,100,45,34.71373200061112
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,313.01398824464525,22.721758502896183,0.0072515159845352,4.003198146820068,0.001,128,3,1000,0.3,True,100,45,35.24187802652858
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,420.3446115189926,22.721758502896183,0.0093365712091326,3.998891830444336,0.001,128,3,1000,0.3,True,100,45,33.96146064285389
