model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,412.1783174364123,22.721758502896183,0.0068403012119233,5.066802024841309,0.001,128,3,500,True,100,45,34.04666406703311
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,336.6596307103414,22.721758502896183,0.0047068689018487,5.063287019729614,0.001,128,3,500,True,100,45,34.92560506067291
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,415.7352247531794,22.721758502896183,0.0075411382131278,5.061712026596069,0.001,128,3,500,True,100,45,34.00934725444837
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,391.71982461094376,22.721758502896183,0.0074139526113867,5.06294584274292,0.001,128,3,500,True,100,45,34.26775997384479
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,261.628655245984,22.721758502896183,0.0040778955444693,5.061992883682251,0.001,128,3,500,True,100,45,36.020662397965665
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,441.6089880354753,22.721758502896183,0.00744558731094,5.052016496658325,0.001,128,3,500,True,100,45,33.747136447921285
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,333.0854341846553,22.721758502896183,0.0042109079658985,5.047307968139648,0.001,128,3,500,True,100,45,34.97195907344425
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,478.2993915767236,22.721758502896183,0.0083778500556945,5.047184705734253,0.001,128,3,500,True,100,45,33.40051720341372
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,360.3511729208501,22.721758502896183,0.0043074591085314,5.048009872436523,0.001,128,3,500,True,100,45,34.63025608767566
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,442.2772613893072,22.721758502896183,0.0070299650542438,5.136725187301636,0.001,128,3,500,True,100,45,33.74056937019014
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,328.660219001004,22.721758502896183,0.0056615285575389,5.047095775604248,0.001,128,3,500,True,100,45,35.03004408463651
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,336.9057937479083,22.721758502896183,0.0040292632766067,5.048134088516235,0.001,128,3,500,True,100,45,34.9224306918665
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,270.81225683985946,22.721758502896183,0.0045553320087492,5.046947479248047,0.001,128,3,500,True,100,45,35.87083232337976
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,365.7519099836848,22.721758502896183,0.0043725809082388,5.048173189163208,0.001,128,3,500,True,100,45,34.56564946045725
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,270.1106653175201,22.721758502896183,0.0040965750813484,5.046742677688599,0.001,128,3,500,True,100,45,35.88209816126842
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,291.2355045180723,22.721758502896183,0.0040619052015244,5.047139883041382,0.001,128,3,500,True,100,45,35.55507230061692
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,366.8498459985776,22.721758502896183,0.0061881514266133,5.050496578216553,0.001,128,3,500,True,100,45,34.55263207670545
