model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,527.5251814549866,22.721758502896183,0.0147584583610296,5.454522609710693,0.001,128,3,2000,0.1,100,True,100,45,32.97508353222149
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,732.3884483245482,22.721758502896183,0.0193622112274169,5.634464263916016,0.001,128,3,2000,0.1,100,True,100,45,31.550100630397647
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,575.2948290558065,22.721758502896183,0.0162635445594787,5.340678691864014,0.001,128,3,2000,0.1,100,True,100,45,32.59861078309506
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,558.1102535140562,22.721758502896183,0.0158879738301038,5.310291528701782,0.001,128,3,2000,0.1,100,True,100,45,32.73031547387019
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,596.2920157191265,22.721758502896183,0.0169147066771984,5.5419762134552,0.001,128,3,2000,0.1,100,True,100,45,32.44292554535119
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.1978826765395,22.721758502896183,0.0075210598297417,7.148873567581177,0.001,128,3,2000,0.2,100,True,100,45,35.22548294686285
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.0931983140897,22.721758502896183,0.009939657524228,7.51031494140625,0.001,128,3,2000,0.2,100,True,100,45,34.079292898974494
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,330.3763648343373,22.721758502896183,0.0086292689666152,7.20758056640625,0.001,128,3,2000,0.2,100,True,100,45,35.007425784879445
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,288.1858397130188,22.721758502896183,0.0073195588774979,7.211915731430054,0.001,128,3,2000,0.2,100,True,100,45,35.60078911239786
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,325.737468101573,22.721758502896183,0.0090011870488524,7.317978143692017,0.001,128,3,2000,0.2,100,True,100,45,35.06883832407109
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,262.0479365378179,22.721758502896183,0.0053592664189636,9.067766427993774,0.001,128,3,2000,0.3,100,True,100,45,36.013708045100756
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,365.9698664449464,22.721758502896183,0.0076321484521031,9.208839178085327,0.001,128,3,2000,0.3,100,True,100,45,34.56306221229081
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,275.60444904618475,22.721758502896183,0.006628687493503,9.039247035980225,0.001,128,3,2000,0.3,100,True,100,45,35.79465324716509
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,261.73274870314594,22.721758502896183,0.0060549648478627,8.99760127067566,0.001,128,3,2000,0.3,100,True,100,45,36.01893482637546
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,274.0950220151439,22.721758502896183,0.0064607267268002,9.092112064361572,0.001,128,3,2000,0.3,100,True,100,45,35.81850400608057
