lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,2000,True,45,100,0.1,1,715.9790129267069,22.721758502896183,0.0200720008462667,5.289632844924927,31.670991177877728,SIREN
0.001,128,3,2000,True,45,100,0.2,1,413.79469414114794,22.721758502896183,0.0108430696651339,7.110486030578613,34.08103739076209,SIREN
0.001,128,3,2000,True,45,100,0.3,1,324.01553296519415,22.721758502896183,0.007752318028360581,8.889749479293823,35.118823397885116,SIREN
0.001,128,3,2000,True,45,100,0.4,1,293.7515138679719,22.721758502896183,0.00637207077816124,10.527878046035767,35.56599283193432,SIREN
0.001,128,3,2000,True,45,100,0.5,1,257.6609202434739,22.721758502896183,0.00514565845951432,12.160445213317871,36.11160836599133,SIREN
0.001,128,3,2000,True,45,100,0.6,1,304.104898500251,22.721758502896183,0.00595330642536276,13.792306756973266,35.451320272686196,SIREN
0.001,128,3,2000,True,45,100,0.7,1,252.1262262592035,22.721758502896183,0.00413632458075876,15.440127563476562,36.247485213358324,SIREN
0.001,128,3,2000,True,45,100,0.8,1,349.71775121318603,22.721758502896183,0.00624394128099078,17.06144881248474,34.892251242693064,SIREN
0.001,128,3,2000,True,45,100,0.9,1,322.182257938002,22.721758502896183,0.00579859679564828,18.708117866516112,35.1841682681215,SIREN
0.001,128,3,2000,True,45,100,1.0,1,291.18663586638223,22.721758502896183,0.004883330874145,20.3276376247406,35.775659226025944,SIREN
