lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse_mean,original_mse_std,compression_ratio_mean,compression_ratio_std,transformed_mse_mean,transformed_mse_std,training_time_mean,training_time_std,original_psnr_mean,original_psnr_std,model_first
0.001,128,3,1000,True,45,100,0.1,1,738.6105114468289,72.80935219747506,22.721758502896183,0.0,0.020187934767454816,0.001661914437987219,2.698568248748779,0.11647414383270836,31.5323321506909,0.410996190199353,SIREN
0.001,128,3,1000,True,45,100,0.2,1,432.7173879763847,57.00075448980787,22.721758502896183,0.0,0.01098226681351656,0.001210405335901395,3.6090705394744873,0.086041095094526,33.86906908755838,0.5461954345649079,SIREN
0.001,128,3,1000,True,45,100,0.3,1,351.47975038173524,50.84931975636179,22.721758502896183,0.0,0.00790575661230828,0.0010524245049054921,4.483733654022217,0.061687954252199806,34.77827012962058,0.5920861567117065,SIREN
0.001,128,3,1000,True,45,100,0.4,1,316.44117616298524,40.69119294456792,22.721758502896183,0.0,0.0064487760653718805,0.0008058623154101896,5.2969752788543705,0.05642569244544449,35.22686608067919,0.5362968027432862,SIREN
0.001,128,3,1000,True,45,100,0.5,1,325.93655056423614,63.27310493474156,22.721758502896183,0.0,0.0063306816620751745,0.0015479870067554697,6.101319622993469,0.04409819504640542,35.140591386496475,0.817224572540109,SIREN
0.001,128,3,1000,True,45,100,0.6,1,314.5515981896335,72.63465762048095,22.721758502896183,0.0,0.005731712421402285,0.0014954810750869244,6.909252274036407,0.036516830311556094,35.32025721847593,0.9337852608337627,SIREN
0.001,128,3,1000,True,45,100,0.7,1,311.27435667147756,54.32596685235198,22.721758502896183,0.0,0.005322673707269085,0.0011559116482484646,7.71818984746933,0.02687209118065791,35.32912787634073,0.7611294782947433,SIREN
0.001,128,3,1000,True,45,100,0.8,1,322.21103607136877,74.34201703356736,22.721758502896183,0.0,0.005652235110755955,0.001682786742191011,8.531074488162995,0.018125067497098826,35.21740640487333,0.9460384990566996,SIREN
0.001,128,3,1000,True,45,100,0.9,1,343.5933834295515,78.71641206015111,22.721758502896183,0.0,0.005716788896825109,0.0015893084624540616,9.349757027626037,0.013104193221903268,34.94502789296375,0.9931730850615202,SIREN
0.001,128,3,1000,True,45,100,1.0,1,378.06266210676034,116.47170688029615,22.721758502896183,0.0,0.006072055979166135,0.0017989650928235054,10.154407846927644,0.004985207424346455,34.6263850031772,1.382313747612438,SIREN
