model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,a,s,original_psnr
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,3.8504960811851583,0.0279309432953596,162.64901471138,0.001,256,4,2000,1,1000,0.1,0.1,28.092026811291618
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,3.8504960811851583,0.0300769619643688,162.71714329719543,0.001,256,4,2000,1,1000,0.1,0.1,27.39395688165706
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,3.8504960811851583,0.0269638691097497,162.67818880081177,0.001,256,4,2000,1,1000,0.1,0.1,28.355174592972276
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,3.8504960811851583,0.0269724279642105,162.69072937965393,0.001,256,4,2000,1,1000,0.1,0.1,28.63819676769929
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,3.8504960811851583,0.0276869237422943,162.74086833000183,0.001,256,4,2000,1,1000,0.1,0.1,28.762149161719424
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,3.8504960811851583,0.0273830946534872,141.47382640838623,0.001,256,4,2000,1,1000,0.1,1.0,28.092026811291618
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,3.8504960811851583,0.0298379864543676,137.8307588100433,0.001,256,4,2000,1,1000,0.1,1.0,27.39395688165706
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,3.8504960811851583,0.0267298053950071,137.86518168449402,0.001,256,4,2000,1,1000,0.1,1.0,28.355174592972276
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.8902864060408,3.8504960811851583,0.0265458337962627,137.82160663604736,0.001,256,4,2000,1,1000,0.1,1.0,28.638418058188783
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,3.8504960811851583,0.0272844303399324,138.04442739486694,0.001,256,4,2000,1,1000,0.1,1.0,28.762149161719424
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1400.2311080258537,3.8504960811851583,0.0228416007012128,137.84214210510254,0.001,256,4,2000,1,1000,0.1,5.0,28.735518269053134
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1397.0322997720048,3.8504960811851583,0.0231974385678768,137.85083556175232,0.001,256,4,2000,1,1000,0.1,5.0,28.745451015286516
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1371.9155149242804,3.8504960811851583,0.0225554853677749,137.8233242034912,0.001,256,4,2000,1,1000,0.1,5.0,28.824241812242917
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1268.703194287567,3.8504960811851583,0.0225888956338167,137.83996653556824,0.001,256,4,2000,1,1000,0.1,5.0,29.163915154507617
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1190.5155191076808,3.8504960811851583,0.021854655817151,137.82674908638,0.001,256,4,2000,1,1000,0.1,5.0,29.440164876915414
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1251.8926552564424,3.8504960811851583,0.0205553919076919,137.8518249988556,0.001,256,4,2000,1,1000,0.1,10.0,29.22184457295584
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1608.6719808923192,3.8504960811851583,0.0240085981786251,137.84786295890808,0.001,256,4,2000,1,1000,0.1,10.0,28.132840512257978
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1181.7265572707497,3.8504960811851583,0.0193613413721323,138.06490325927734,0.001,256,4,2000,1,1000,0.1,10.0,29.472345531075078
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1050.286139349063,3.8504960811851583,0.0186129733920097,137.85456538200378,0.001,256,4,2000,1,1000,0.1,10.0,29.984439146390905
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1183.7985562039826,3.8504960811851583,0.0217546466737985,137.9470853805542,0.001,256,4,2000,1,1000,0.1,10.0,29.464737428094317
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1369.5916138512382,3.8504960811851583,0.0218852683901786,138.04993605613708,0.001,256,4,2000,1,1000,0.1,20.0,28.831604606551583
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1601.0271032044843,3.8504960811851583,0.02391610853374,138.3039927482605,0.001,256,4,2000,1,1000,0.1,20.0,28.15352864772514
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1315.556066714776,3.8504960811851583,0.0218810904771089,137.95903515815735,0.001,256,4,2000,1,1000,0.1,20.0,29.006421870743893
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1223.7182087725903,3.8504960811851583,0.0215549543499946,138.00010013580322,0.001,256,4,2000,1,1000,0.1,20.0,29.320701264351435
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1157.443513637885,3.8504960811851583,0.0213924553245306,137.99378561973572,0.001,256,4,2000,1,1000,0.1,20.0,29.562517433008285
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,3.8504960811851583,0.0277463756501674,137.86381196975708,0.001,256,4,2000,1,1000,1.0,0.1,28.092026811291618
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,3.8504960811851583,0.0299525689333677,137.86209559440613,0.001,256,4,2000,1,1000,1.0,0.1,27.39395688165706
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,3.8504960811851583,0.0268492251634597,137.85645127296448,0.001,256,4,2000,1,1000,1.0,0.1,28.355174592972276
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,3.8504960811851583,0.0268156621605157,137.90698766708374,0.001,256,4,2000,1,1000,1.0,0.1,28.63819676769929
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,3.8504960811851583,0.0274558365345001,137.86082530021667,0.001,256,4,2000,1,1000,1.0,0.1,28.762149161719424
