model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,outermost_linear,original_psnr
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1609.177920013387,88.5230876056012,0.0261145438998937,0.5527448654174805,0.001,64,3,100,True,28.131474839047378
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1849.5035127489125,88.5230876056012,0.0282296705991029,0.5366799831390381,0.001,64,3,100,True,27.526963882624628
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1521.7584831513554,88.5230876056012,0.025829317048192,0.5357167720794678,0.001,64,3,100,True,28.37405817329687
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1410.4127133534137,88.5230876056012,0.0253887679427862,0.5356338024139404,0.001,64,3,100,True,28.704053347606017
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1375.2898089754854,88.5230876056012,0.025941152125597,0.5388638973236084,0.001,64,3,100,True,28.813573239268454
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,21089.429219482096,88.5230876056012,0.3653615117073059,0.5381324291229248,0.001,64,3,100,False,16.95686722948124
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1991.228255469796,88.5230876056012,0.0329828932881355,0.5378429889678955,0.001,64,3,100,False,27.206305024970312
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.0269471034407615,0.5383784770965576,0.001,64,3,100,False,28.355174592972276
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,17786.867923516984,88.5230876056012,0.2438898682594299,0.5387651920318604,0.001,64,3,100,False,17.696520685464918
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1435.838103716951,88.5230876056012,0.0291892606765031,0.5386078357696533,0.001,64,3,100,False,28.62646074477883
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1410.842292346469,88.5230876056012,0.022739939391613,2.668978691101074,0.001,64,3,500,True,28.70273078876401
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1596.223881201891,88.5230876056012,0.023775802925229,2.66828989982605,0.001,64,3,500,True,28.166577447400634
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1335.5961632990295,88.5230876056012,0.0220535565167665,2.667760133743286,0.001,64,3,500,True,28.940763859592202
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1145.1762165850903,88.5230876056012,0.0203526318073272,2.668462038040161,0.001,64,3,500,True,29.60879228901561
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1156.4108216721052,88.5230876056012,0.0211756378412246,2.6678354740142822,0.001,64,3,500,True,29.566394016293394
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1999.8090473874663,88.5230876056012,0.0359416790306568,2.6778059005737305,0.001,64,3,500,False,27.18763019915653
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1813.4122178819443,88.5230876056012,0.0278163235634565,2.6764566898345947,0.001,64,3,500,False,27.61255011300147
