model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,276.0644086763722,22.721758502896183,0.0037354505620896816,10.601218938827515,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,487.724000167336,22.721758502896183,0.0077952430583536625,10.137213945388794,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,422.19885793172693,22.721758502896183,0.007148276083171368,10.139835834503174,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,240.6830982785308,22.721758502896183,0.004520875867456198,10.134358644485474,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,239.6607314675368,22.721758502896183,0.003831331618130207,10.129253149032593,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,338.6365448774264,22.721758502896183,0.005032060202211142,10.13326621055603,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,398.81551989206827,22.721758502896183,0.006628655828535557,10.133872985839844,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,302.0690797042336,22.721758502896183,0.004825996700674295,10.13358759880066,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,429.6671987428882,22.721758502896183,0.005951523780822754,10.152915716171265,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,466.05229250334673,22.721758502896183,0.007196218241006136,10.132549047470093,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,460.3058797690763,22.721758502896183,0.008209533989429474,10.130154609680176,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,447.4043295578146,22.721758502896183,0.006162811070680618,10.130731344223022,0.001,3,128,3,1,cuda,1000,True,100,45
