model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,611.2436124707162,22.721758502896183,0.006651303730905056,4.1059730052948,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,738.4949001736111,22.721758502896183,0.007671554572880268,3.621330738067627,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,521.2275691306894,22.721758502896183,0.006124714855104685,3.6761996746063232,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,466.212218666332,22.721758502896183,0.0062734708189964294,3.6723077297210693,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,487.4436143009538,22.721758502896183,0.007547902408987284,3.6373062133789062,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,695.0509995712015,22.721758502896183,0.008229021914303303,3.629272937774658,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,617.2329173464692,22.721758502896183,0.006917032413184643,3.643956422805786,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,624.3663495126339,22.721758502896183,0.00807059183716774,3.6659016609191895,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,598.9300169427711,22.721758502896183,0.006530904211103916,3.686544179916382,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,652.2967298883032,22.721758502896183,0.008285200223326683,3.6510472297668457,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,638.1503997761881,22.721758502896183,0.008493687957525253,3.666271448135376,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,613.0310539031125,22.721758502896183,0.005732988007366657,3.6841185092926025,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,393.3926500271921,22.721758502896183,0.006569676101207733,3.642456531524658,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,823.2588949548193,22.721758502896183,0.008180016651749611,3.6437582969665527,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,563.9287057082497,22.721758502896183,0.007335901726037264,3.6624746322631836,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,623.5131685596552,22.721758502896183,0.007197922561317682,3.6451494693756104,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,631.5733389286312,22.721758502896183,0.009777316823601723,3.645047187805176,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,449.01949595256025,22.721758502896183,0.006104162894189358,3.6372900009155273,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,553.4237692959338,22.721758502896183,0.007583875209093094,3.657438278198242,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,584.2490966470046,22.721758502896183,0.00766564579680562,3.61759877204895,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,21,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,519.4775573648761,22.721758502896183,0.006094171665608883,3.652594566345215,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,22,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,569.0318016859103,22.721758502896183,0.007144783157855272,3.647589683532715,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,23,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,614.2309955969712,22.721758502896183,0.007970592007040977,3.645301103591919,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,24,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,411.0523840152276,22.721758502896183,0.005710737779736519,3.6306612491607666,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,25,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,498.6785553673025,22.721758502896183,0.008870807476341724,3.6273152828216553,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,26,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,455.03623216825633,22.721758502896183,0.004906531888991594,3.6435163021087646,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,27,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,583.9065179990796,22.721758502896183,0.0070486003533005714,3.639498233795166,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,28,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,449.8020872552711,22.721758502896183,0.007713473401963711,3.6282849311828613,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,29,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,415.52500104585005,22.721758502896183,0.005067826714366674,3.65460467338562,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,30,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,370.5411084441934,22.721758502896183,0.006136427633464336,3.6166317462921143,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,31,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,428.8310298485609,22.721758502896183,0.008402419276535511,3.648322105407715,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,32,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,736.7305667984438,22.721758502896183,0.008225745521485806,3.6748433113098145,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,33,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,467.3424361508534,22.721758502896183,0.008749105036258698,3.649752140045166,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
