model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,382.1322425117135,22.721758502896183,0.009075706824660301,6.048075437545776,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,481.26040228622827,22.721758502896183,0.010898277163505554,6.277032136917114,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,384.73512016817267,22.721758502896183,0.009109248407185078,5.935696363449097,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,359.6120079275435,22.721758502896183,0.009013062343001366,5.936958312988281,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,378.2081293925703,22.721758502896183,0.009440481662750244,6.117414951324463,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,481.2914012822122,22.721758502896183,0.011163750663399696,6.4791646003723145,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,411.9432299510542,22.721758502896183,0.00984139647334814,6.091297149658203,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,480.49032065763055,22.721758502896183,0.011553168296813965,6.353567600250244,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,446.0009870210007,22.721758502896183,0.009985136799514294,6.1640026569366455,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,549.6436475066935,22.721758502896183,0.012542817741632462,6.653339147567749,0.001,3,128,3,1,cuda,2000,0.1,1,True,100,45
