lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,sample_fraction,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,2000,True,45,100,0.1,343.78718470235106,22.721758502896183,0.007526993295177768,3.629346389770508,34.96976569554626,SIREN,85.63590135987239,0.02178254472778459
0.001,128,3,2000,True,45,100,0.2,297.2774831095214,22.721758502896183,0.0067773933289572074,5.962121586799622,35.624767047064545,SIREN,79.76721779866476,0.021523917870683997
0.001,128,3,2000,True,45,100,0.3,274.2462089242386,22.721758502896183,0.006329136411659374,8.06222993850708,35.983195296308935,SIREN,75.48830329983333,0.009880905387266579
0.001,128,3,2000,True,45,100,0.4,266.10214720862615,22.721758502896183,0.006200720351189321,9.996281061172485,36.126334518905935,SIREN,75.08503573467965,0.003678547311185073
0.001,128,3,2000,True,45,100,0.5,259.02413523887213,22.721758502896183,0.00602837607730175,11.844419574737548,36.26797091382546,SIREN,78.37242968136928,0.002216128355266633
0.001,128,3,2000,True,45,100,0.6,254.52864382007195,22.721758502896183,0.005997066167183166,13.70261754989624,36.32744362959887,SIREN,72.82048591200638,0.011416915998555582
0.001,128,3,2000,True,45,100,0.7,251.0344501966198,22.721758502896183,0.005914182653650593,15.507269129753112,36.38553511661557,SIREN,71.02761987023024,0.002713426709941368
0.001,128,3,2000,True,45,100,0.8,247.12203020414992,22.721758502896183,0.005840444676577988,17.370864157676696,36.44579853862483,SIREN,68.78689272311708,0.002361311876497188
0.001,128,3,2000,True,45,100,0.9,246.77838034429385,22.721758502896183,0.0058803611248731055,19.21671884059906,36.46178938110548,SIREN,71.26985089388933,0.0054356531589999915
0.001,128,3,2000,True,45,100,1.0,248.58790301832332,22.721758502896183,0.005839521125890264,21.07262228488922,36.45718235086332,SIREN,76.36287144952547,0.00721998525584635
