model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,sample_fraction,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,375.4548611111111,22.721758502896183,0.0080839758738875,3.6686644554138175,0.001,128,3,0.1,2000,True,100,45,34.451938171438975
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,442.30691254601743,22.721758502896183,0.0096917953342199,3.6009068489074707,0.001,128,3,0.1,2000,True,100,45,33.74027822019841
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,375.0190253200301,22.721758502896183,0.0084394328296184,3.6012744903564453,0.001,128,3,0.1,2000,True,100,45,34.45698248020932
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,357.611905957162,22.721758502896183,0.0082752825692296,3.590334415435791,0.001,128,3,0.1,2000,True,100,45,34.66339579455787
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,366.334156940261,22.721758502896183,0.0086706122383475,3.625619888305664,0.001,128,3,0.1,2000,True,100,45,34.55874134664148
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,470.4864928463856,22.721758502896183,0.0105305481702089,3.608048439025879,0.001,128,3,0.1,2000,True,100,45,33.47204388945333
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,388.6722854961513,22.721758502896183,0.0085638398304581,3.6117568016052246,0.001,128,3,0.1,2000,True,100,45,34.30167974652947
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,428.57212443524094,22.721758502896183,0.0099125280976295,3.595015525817871,0.001,128,3,0.1,2000,True,100,45,33.87727628906025
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,434.8082080927878,22.721758502896183,0.0092062205076217,3.659902334213257,0.001,128,3,0.1,2000,True,100,45,33.81453814880528
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,564.2200808442102,22.721758502896183,0.0122944414615631,3.6296229362487793,0.001,128,3,0.1,2000,True,100,45,32.683030099384574
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,461.3474653823628,22.721758502896183,0.0105069698765873,3.630722999572754,0.001,128,3,0.1,2000,True,100,45,33.557234098033504
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,404.16650586721886,22.721758502896183,0.0083587216213345,3.624472379684448,0.001,128,3,0.1,2000,True,100,45,34.13191228998414
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,377.93794448627847,22.721758502896183,0.0089911222457885,3.662719964981079,0.001,128,3,0.1,2000,True,100,45,34.42331052050545
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,451.8034586261713,22.721758502896183,0.0095459055155515,3.651838779449463,0.001,128,3,0.1,2000,True,100,45,33.648019975778055
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,370.29741361278445,22.721758502896183,0.0084249060600996,3.632948160171509,0.001,128,3,0.1,2000,True,100,45,34.51200870089558
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,381.2162569549029,22.721758502896183,0.0081933913752436,3.639058113098145,0.001,128,3,0.1,2000,True,100,45,34.385801359318044
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,365.6560735128012,22.721758502896183,0.0083365207538008,3.6354596614837646,0.001,128,3,0.1,2000,True,100,45,34.56678757356641
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,363.7856294971553,22.721758502896183,0.0081336740404367,3.615457057952881,0.001,128,3,0.1,2000,True,100,45,34.589060094913975
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,400.6820994917169,22.721758502896183,0.0092882513999938,3.6234405040740967,0.001,128,3,0.1,2000,True,100,45,34.169516080454514
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,396.9222371255857,22.721758502896183,0.0091873649507761,3.6411428451538086,0.001,128,3,0.1,2000,True,100,45,34.21046118314434
SIREN,21,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,379.2357058442102,22.721758502896183,0.0081421071663498,3.634179830551148,0.001,128,3,0.1,2000,True,100,45,34.408423284315255
SIREN,22,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,456.7357594440261,22.721758502896183,0.0101063223555684,3.622017145156861,0.001,128,3,0.1,2000,True,100,45,33.60086533391211
SIREN,23,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,442.7502954526439,22.721758502896183,0.0102544138208031,3.6462769508361816,0.001,128,3,0.1,2000,True,100,45,33.73592689094904
SIREN,24,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,333.8669547983601,22.721758502896183,0.007813517935574,3.6343743801116943,0.001,128,3,0.1,2000,True,100,45,34.961781128182295
SIREN,25,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,291.811975767654,22.721758502896183,0.0064182057976722,3.63826847076416,0.001,128,3,0.1,2000,True,100,45,35.54648437689835
SIREN,26,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,305.75841778572624,22.721758502896183,0.006238916888833,3.6162965297698975,0.001,128,3,0.1,2000,True,100,45,35.34373126402784
SIREN,27,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,271.5507171916834,22.721758502896183,0.0050546703860163,3.6225621700286874,0.001,128,3,0.1,2000,True,100,45,35.85900594623237
SIREN,28,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,261.0608906982095,22.721758502896183,0.0058224578388035,3.624528408050537,0.001,128,3,0.1,2000,True,100,45,36.0300973334455
SIREN,29,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,316.52225961136213,22.721758502896183,0.0068023181520402,3.616177797317505,0.001,128,3,0.1,2000,True,100,45,35.19347291328568
SIREN,30,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,262.9423710466868,22.721758502896183,0.0059283305890858,3.643401622772217,0.001,128,3,0.1,2000,True,100,45,35.998909739613694
SIREN,31,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,267.05611769996653,22.721758502896183,0.0060650850646197,3.613572359085083,0.001,128,3,0.1,2000,True,100,45,35.93149017565078
SIREN,32,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,332.85980510584005,22.721758502896183,0.0065981284715235,3.63469672203064,0.001,128,3,0.1,2000,True,100,45,34.97490194207231
SIREN,33,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,285.6918860337182,22.721758502896183,0.0062084197998046,3.648091077804565,0.001,128,3,0.1,2000,True,100,45,35.638536426539396
SIREN,34,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,241.22262618181057,22.721758502896183,0.0050856457091867,3.635585308074951,0.001,128,3,0.1,2000,True,100,45,36.37333507467122
SIREN,35,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,235.17323068314928,22.721758502896183,0.0051890802569687,3.647667407989502,0.001,128,3,0.1,2000,True,100,45,36.48363663455832
SIREN,36,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,234.39253106174695,22.721758502896183,0.0053113838657736,3.65241813659668,0.001,128,3,0.1,2000,True,100,45,36.49807780031741
SIREN,37,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,214.12592949924695,22.721758502896183,0.0043871556408703,3.625940322875977,0.001,128,3,0.1,2000,True,100,45,36.89082287560515
