lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,refresh_interval,fraction,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,2000,True,45,100,1,0.1,522.0584940020499,22.721758502896183,0.006821308294311116,3.6541034746170045,33.17106011806404,SIREN,135.94076819005912,0.06752442542559645
0.001,128,3,2000,True,45,100,1,0.2,423.99837030413323,22.721758502896183,0.00606706537306303,6.009765377044678,34.09281515349474,SIREN,118.32086597167563,0.016024934341839464
0.001,128,3,2000,True,45,100,1,0.3,395.4872865681476,22.721758502896183,0.005984873664565328,8.080133819580078,34.425352861244505,SIREN,115.15193335535383,0.018205631806435158
0.001,128,3,2000,True,45,100,1,0.4,353.99861335968876,22.721758502896183,0.005549464360810766,10.016449151039124,34.92005566508881,SIREN,114.0288360469071,0.014292288994541618
0.001,128,3,2000,True,45,100,1,0.5,333.2010251422356,22.721758502896183,0.005166274304501672,11.856519870758056,35.2253952724618,SIREN,107.54187318732447,0.028720277372929596
0.001,128,3,2000,True,45,100,1,0.6,329.14660035977244,22.721758502896183,0.005305659282021175,13.708562588691711,35.17315248727668,SIREN,88.14423349876327,0.01876844112209484
0.001,128,3,2000,True,45,100,1,0.7,335.86774668988454,22.721758502896183,0.0053912923904135355,15.57465528011322,35.177370796880865,SIREN,110.68320279396218,0.02185306238077483
0.001,128,3,2000,True,45,100,1,0.8,299.6902536447875,22.721758502896183,0.0048380310600623,17.42739857673645,35.66731542811038,SIREN,95.56313684553358,0.02088391525369323
0.001,128,3,2000,True,45,100,1,0.9,333.23582883617803,22.721758502896183,0.005559115076903198,19.27326758861542,35.23404404517736,SIREN,108.53216939874675,0.007975361366543893
0.001,128,3,2000,True,45,100,1,1.0,286.13741881588857,22.721758502896183,0.004684358048252718,21.12297643661499,35.95413482997048,SIREN,112.05995678376468,0.013067007108113112
