model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,sample_fraction,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,380.2032871067604,22.721758502896183,0.0084185190498828,2.267893075942993,0.001,128,3,0.1,1000,True,100,45,34.39735681460821
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,389.9259355128849,22.721758502896183,0.0086981961503624,1.8097124099731443,0.001,128,3,0.1,1000,True,100,45,34.287694259783656
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,371.42010882069945,22.721758502896183,0.0083341635763645,1.7942748069763184,0.001,128,3,0.1,1000,True,100,45,34.49886135864526
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,388.1940483287316,22.721758502896183,0.0085555231198668,1.816534757614136,0.001,128,3,0.1,1000,True,100,45,34.30702676132583
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,370.0951893511546,22.721758502896183,0.0080464715138077,1.809291124343872,0.001,128,3,0.1,1000,True,100,45,34.514381087728324
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,386.32240027819614,22.721758502896183,0.0085069686174392,1.832204818725586,0.001,128,3,0.1,1000,True,100,45,34.32801658030584
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,386.3589252844712,22.721758502896183,0.008541690185666,1.8253445625305176,0.001,128,3,0.1,1000,True,100,45,34.32760599425533
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,383.7427091177209,22.721758502896183,0.0082545792683959,1.834969520568848,0.001,128,3,0.1,1000,True,100,45,34.35711411539232
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,384.0043794971553,22.721758502896183,0.0085491938516497,1.8492558002471924,0.001,128,3,0.1,1000,True,100,45,34.354153713250746
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,380.4215873912316,22.721758502896183,0.0086169401183724,1.8388614654541016,0.001,128,3,0.1,1000,True,100,45,34.394863953416696
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,441.9209925640061,22.721758502896183,0.0087872426956892,1.88891863822937,0.001,128,3,0.1,1000,True,100,45,33.74406916432757
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,398.7094393197791,22.721758502896183,0.0088527901098132,1.820053577423096,0.001,128,3,0.1,1000,True,100,45,34.19095031198586
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,389.2279338709002,22.721758502896183,0.0085385190322995,1.8291029930114744,0.001,128,3,0.1,1000,True,100,45,34.29547547873099
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,374.3310050096218,22.721758502896183,0.008304520510137,1.853359937667847,0.001,128,3,0.1,1000,True,100,45,34.46495748511006
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,389.5454003514057,22.721758502896183,0.0086921351030468,1.831735134124756,0.001,128,3,0.1,1000,True,100,45,34.29193468085691
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,356.53697864374163,22.721758502896183,0.0078048040159046,1.8156964778900144,0.001,128,3,0.1,1000,True,100,45,34.676469688903545
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,379.0033728664658,22.721758502896183,0.0083576301112771,1.8508632183074951,0.001,128,3,0.1,1000,True,100,45,34.41108473862933
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,390.7572647360274,22.721758502896183,0.0087854964658617,1.854062795639038,0.001,128,3,0.1,1000,True,100,45,34.27844487845691
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,375.7237726949464,22.721758502896183,0.0082114208489656,1.8581809997558596,0.001,128,3,0.1,1000,True,100,45,34.44882874269027
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,376.7907593917336,22.721758502896183,0.0086495643481612,1.880754232406616,0.001,128,3,0.1,1000,True,100,45,34.43651305374459
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,347.1201550995649,22.721758502896183,0.0077549270354211,2.9897403717041016,0.001,128,3,0.2,1000,True,100,45,34.7927171759526
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,355.47906208165995,22.721758502896183,0.0079015158116817,2.9907710552215576,0.001,128,3,0.2,1000,True,100,45,34.689375231392525
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,334.46471171142906,22.721758502896183,0.0076167890802025,3.019174337387085,0.001,128,3,0.2,1000,True,100,45,34.95401245250531
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,337.30964613662985,22.721758502896183,0.007679836358875,2.986135244369507,0.001,128,3,0.2,1000,True,100,45,34.91722787761675
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,324.7401154095549,22.721758502896183,0.0073491940274834,2.9954047203063965,0.001,128,3,0.2,1000,True,100,45,35.08215608077972
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,320.16639736027446,22.721758502896183,0.0073653520084917,2.9877498149871826,0.001,128,3,0.2,1000,True,100,45,35.14375799593556
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,343.1677033655455,22.721758502896183,0.0077119530178606,3.0128064155578613,0.001,128,3,0.2,1000,True,100,45,34.84245140540699
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,340.87020869938084,22.721758502896183,0.007748463191092,2.9898085594177246,0.001,128,3,0.2,1000,True,100,45,34.87162502254643
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,313.8276125334672,22.721758502896183,0.0071142143569886,3.0017106533050537,0.001,128,3,0.2,1000,True,100,45,35.230603958662805
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,317.6974499560743,22.721758502896183,0.0071596088819205,2.9905571937561035,0.001,128,3,0.2,1000,True,100,45,35.177378198525965
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,308.6332439131526,22.721758502896183,0.0069443499669432,3.055154323577881,0.001,128,3,0.2,1000,True,100,45,35.303088452173824
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,316.1488140060241,22.721758502896183,0.0070821451954543,2.993285894393921,0.001,128,3,0.2,1000,True,100,45,35.198599918179326
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,320.1146905329652,22.721758502896183,0.0074900337494909,3.0086374282836914,0.001,128,3,0.2,1000,True,100,45,35.14445943754458
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,340.91884595674367,22.721758502896183,0.0079677123576402,3.025120735168457,0.001,128,3,0.2,1000,True,100,45,34.871005391228536
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,327.45233146126174,22.721758502896183,0.0076162805780768,3.023728132247925,0.001,128,3,0.2,1000,True,100,45,35.04603461813673
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,330.1896701388889,22.721758502896183,0.0073937908746302,2.998992443084717,0.001,128,3,0.2,1000,True,100,45,35.00988066369246
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,332.25259109354084,22.721758502896183,0.0077485679648816,3.0082991123199463,0.001,128,3,0.2,1000,True,100,45,34.9828317226522
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,334.63240331116134,22.721758502896183,0.007589700166136,2.9974710941314697,0.001,128,3,0.2,1000,True,100,45,34.95183556259456
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,340.18391796352074,22.721758502896183,0.0077798860147595,2.99578070640564,0.001,128,3,0.2,1000,True,100,45,34.88037770074869
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,335.11005088060574,22.721758502896183,0.0077179949730634,3.0074586868286133,0.001,128,3,0.2,1000,True,100,45,34.94564095039473
