lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,1000,True,45,100,0.1,1,390.78377415913656,22.721758502896183,0.00911159785464402,3.0690704107284548,34.27915580817876,SIREN,8.630364788829684,0.1322552678583261
0.001,128,3,1000,True,45,100,0.2,1,321.84914985462683,22.721758502896183,0.006684531830251155,3.9617511868476867,35.128777163216704,SIREN,20.206050759266525,0.016959432348844995
0.001,128,3,1000,True,45,100,0.3,1,286.6868789611571,22.721758502896183,0.005476020788773845,4.861047899723053,35.63172702861112,SIREN,18.187396589957658,0.012028145577291769
0.001,128,3,1000,True,45,100,0.4,1,283.8263782342913,22.721758502896183,0.005265296646393785,5.689676916599273,35.71228900441302,SIREN,44.1488743268009,0.021668549262871237
0.001,128,3,1000,True,45,100,0.5,1,299.09134434874915,22.721758502896183,0.005319329502526615,6.512976443767547,35.525666333497774,SIREN,62.29288019845327,0.02526464912791749
0.001,128,3,1000,True,45,100,0.6,1,273.5218133602117,22.721758502896183,0.00453040021238844,7.348848712444306,35.881150006879295,SIREN,45.65765366000472,0.03218807811928145
0.001,128,3,1000,True,45,100,0.7,1,303.08140844628514,22.721758502896183,0.0051197149557992445,8.159029352664948,35.48431371167278,SIREN,68.40336949778214,0.03256375686819184
0.001,128,3,1000,True,45,100,0.8,1,296.9175562275142,22.721758502896183,0.004685333732049865,8.985825645923615,35.5521450866549,SIREN,62.123482465304384,0.01905871088153639
0.001,128,3,1000,True,45,100,0.9,1,328.23315946075974,22.721758502896183,0.00528750980738546,9.819770121574402,35.1328540110206,SIREN,71.21402086688084,0.03132682704836458
0.001,128,3,1000,True,45,100,1.0,1,358.5363434859229,22.721758502896183,0.0056398792774416,10.63683271408081,34.78126978336864,SIREN,85.72564446063109,0.020035714670557297
