lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,2000,True,45,100,0.1,1,357.0611274263722,22.721758502896183,0.008400770705193229,5.885327610969544,34.807880803005325,SIREN,87.60229148511188,0.343818386311941
0.001,128,3,2000,True,45,100,0.2,1,274.6625910935408,22.721758502896183,0.005805311221629336,7.757729992866516,36.00989146662015,SIREN,82.49100003260678,0.2707985204075681
0.001,128,3,2000,True,45,100,0.3,1,255.3252527035224,22.721758502896183,0.00502847812604154,9.51501582622528,36.30375088380226,SIREN,70.22185961374758,0.23363406539868495
0.001,128,3,2000,True,45,100,0.4,1,237.76193265248494,22.721758502896183,0.00447102238191287,11.172288846969604,36.64866101278277,SIREN,71.01865844717837,0.19920058978802413
0.001,128,3,2000,True,45,100,0.5,1,236.35694384308067,22.721758502896183,0.00425561221782113,12.832366390228271,36.65246400226649,SIREN,69.13894236237303,0.1571089848444688
0.001,128,3,2000,True,45,100,0.6,1,249.04583440532966,22.721758502896183,0.004423486150335474,14.64425202846527,36.48169591007044,SIREN,83.32181685952219,0.22539435649917705
0.001,128,3,2000,True,45,100,0.7,1,272.01399263721555,22.721758502896183,0.004726998414844226,16.19532269001007,36.05735081781687,SIREN,82.07484185054898,0.12713726561202734
0.001,128,3,2000,True,45,100,0.8,1,264.8976384444026,22.721758502896183,0.004420792497694442,17.831242699623107,36.25215116121013,SIREN,97.13049837404621,0.07127445437903633
0.001,128,3,2000,True,45,100,0.9,1,292.66388428714856,22.721758502896183,0.004913169639185022,19.50638586997986,35.862006943207646,SIREN,108.76162830031254,0.05155935951830378
0.001,128,3,2000,True,45,100,1.0,1,288.601769447582,22.721758502896183,0.004729535141959736,21.138004546165465,35.8893152518952,SIREN,104.85126667847372,0.024916436268034952
